Measurements/Samples, Spot 64867, Spot 64868, Spot 64919, Spot 64920, Spot 64921, Spot 64922, Spot 64923, Spot 64924, Spot 64925, Spot 64926, Spot 64927, Spot 64928, Spot 64975, Spot 64976, Spot 64977, Spot 64978, Spot 64979, Spot 64980, Spot 64986, Spot 64987, Spot 64988, Spot 64989, Spot 65033, Spot 65034, Spot 65035, Spot 65036, Spot 65048, Spot 65049, Spot 65050, Spot 65093, Spot 65094, Spot 65095, Spot 65096, Spot 65111, Spot 65112, Spot 65154, Spot 65155, Spot 65156, Spot 65157, Spot 65176, Spot 65177, Spot 65178, Spot 65218, Spot 65219, Spot 65220, Spot 65221, Spot 65222, Spot 65243, Spot 65244, Spot 65245, Spot 65284, Spot 65285, Spot 65286, Spot 65312, Spot 65313, Spot 65314, Spot 65351, Spot 65352, Spot 65353, Spot 65383, Spot 65384, Spot 65385, Spot 65420, Spot 65421, Spot 65422, Spot 65455, Spot 65456, Spot 65492, Spot 65493, Spot 65494, Spot 65529, Spot 65530, Spot 65531, Spot 65565, Spot 65566, Spot 65605, Spot 65606, Spot 65639, Spot 65640, Spot 65641, Spot 65682, Spot 65683, Spot 65717, Spot 65718, Spot 65761, Spot 65762, Spot 65794, Spot 65795, Spot 65841, Spot 65842, Spot 65874, Spot 65875, Spot 65923, Spot 65924, Spot 65956, Spot 65957, Spot 65958, Spot 66007, Spot 66008, Spot 66009, Spot 66041, Spot 66093, Spot 66094, Spot 66127, Spot 66128, Spot 66181, Spot 66182, Spot 66213, Spot 66214, Spot 66270, Spot 66271, Spot 66303, Spot 66361, Spot 66362, Spot 66394, Spot 66395, Spot 66454, Spot 66455, Spot 66487, Spot 66488, Spot 66582, Spot 66583, Spot 66584, Spot 66680, Spot 66681, Spot 66779, Spot 66780, Spot 66781, Spot 66880, Spot 66881, Spot 66882, Spot 66983, Spot 66984, Spot 67088, Spot 67089, Spot 67195, Spot 67303, Spot 67304, Spot 67414, Spot 67415, Spot 67527, Spot 67528, Spot 67529, Spot 67641, Spot 67642, Spot 67643, Spot 67756, Spot 67757, Spot 67870, Spot 67871, Spot 67872, Spot 67987, Spot 67988, Spot 68104, Spot 68105, Spot 68106, Spot 68223, Spot 68224, Spot 68225, Spot 68344, Spot 68345, Spot 68346, Spot 68468, Spot 68469, Spot 68470, Spot 68593, Spot 68594, Spot 68595, Spot 68720, Spot 68721, Spot 68722, Spot 68848, Spot 68849, Spot 68850, Spot 68851, Spot 68978, Spot 68979, Spot 68980, Spot 68981, Spot 69112, Spot 69113, Spot 69114, Spot 69115, Spot 69116, Spot 69246, Spot 69247, Spot 69248, Spot 69249, Spot 69381, Spot 69382, Spot 69383, Spot 69384, Spot 69516, Spot 69517, Spot 69518, Spot 69519, Spot 69653, Spot 69654, Spot 69655, Spot 69790, Spot 69791, Spot 69927, Spot 69928, Spot 69929, Spot 70067, Spot 70484,average
AA_0,81867.60303,130106.2951,66013.2525,109775.6989,75236.69131,70454.28581,80580.71152,91288.85146,73816.12914,101409.5161,131852.9061,120906.7487,68424.68717,94476.76926,113554.2575,82776.28856,95826.56048,50842.08076,89034.92813,73758.76297,74816.78103,83723.33617,89196.60015,90193.76548,58682.28679,90963.15592,117178.8632,64896.37403,53513.17683,89335.91951,153059.4657,79567.00479,110976.3005,110326.5446,85168.9864,79268.40991,83347.1445,103845.6497,128794.7455,59048.75903,112869.5244,60474.34832,57524.54069,94745.44118,71340.52978,73163.07569,46759.37578,61903.17886,61947.10377,37626.47042,68611.11344,109929.9607,65567.95564,21145.34763,25319.96752,48820.44082,91025.24471,70951.07315,69479.21867,68976.28517,47929.28769,71915.69555,78239.83865,87242.02489,85023.5062,73589.45033,109971.7406,61408.53119,97253.89837,58944.70499,49642.72493,65672.93684,27649.21725,88668.48769,72615.89747,79166.16625,74104.49736,74091.37012,116177.0336,48560.8371,104813.4573,93154.76248,80043.69924,42401.4243,101617.8876,91886.45363,72327.11873,92635.03858,73929.9742,91773.29572,80407.36328,125799.5614,59530.01454,97373.66147,91211.88877,115879.7166,70146.59741,113040.4474,82660.9874,87326.41599,70989.16969,85390.12871,58964.724,61228.8753,95962.4534,89134.32925,75691.6142,65321.27655,111084.4976,96616.40867,77918.42647,96509.45787,117583.8207,88916.85602,80914.124,84655.73839,66230.96853,91047.50231,76504.9437,92836.13345,63093.75811,101535.0571,69465.78871,92106.84632,91364.01649,46257.05935,70235.94185,102304.9312,54517.7773,45320.03399,69319.42236,42560.42806,59508.87326,41370.88656,61849.21748,73775.66224,55164.81573,53747.04971,75308.2405,36226.16058,66789.41944,66198.9618,64025.00516,66464.30037,75651.04395,56598.51976,58699.49532,51861.03661,53612.98086,39905.42178,46395.13134,53966.54375,73288.59791,53204.21507,49793.31759,83119.42519,53765.86463,75080.37714,55768.9288,93605.08781,82173.52743,54418.20867,69985.81655,81961.82042,63110.69271,57044.99669,62140.8902,66839.85938,77234.62265,54523.08458,75695.33598,75281.69031,61002.49013,60223.59101,64152.829,41655.56771,55307.02357,75856.66634,70765.17661,75364.84545,66280.42294,65360.63568,67624.93908,60557.56279,48426.1246,104170.6536,75141.22659,53317.85472,31716.83657,42160.00569,74813.45648,61696.18526,25917.66841,56649.50675,82767.75793,65240.53197,37973.36164,41262.79646,66372.16455,62836.28603,49050.40299,34042.83837,47000.45982,50175.77497,42516.81089,35555.7519,73600.03857
AA_1,25636.39098,28338.55801,17264.46536,23928.65703,17876.09737,17956.29494,19250.67773,25363.84339,15940.88394,29771.00391,24999.50841,28151.35015,13587.47453,17473.20954,0,16826.79692,29820.89255,14783.93403,14867.35832,20857.24027,15543.59909,20775.09329,22647.35023,21810.72671,12627.36604,20652.99896,25071.77774,15807.08653,5959.070376,29174.84202,45360.89802,19744.60351,28282.48085,26477.74471,16973.22563,12434.82014,23742.43345,31487.88095,37445.44901,17811.40628,28757.81074,18760.94418,13678.53881,17863.63167,16524.20842,18367.26033,8864.058247,14051.07663,16152.7144,6642.508403,17714.22329,28197.81705,11359.06436,3753.517955,7570.854657,12314.40738,19934.20541,16093.55825,14787.36479,14517.31352,9394.761863,13664.77531,17864.2967,0,19326.45972,13150.74321,14443.97265,10624.65648,15173.55122,7037.943409,9476.987506,11330.68933,5224.013337,27476.45752,18624.49361,11820.09569,13325.76905,16180.12995,26580.7509,13262.4079,19868.90001,14900.72964,18915.9579,10226.66477,29594.47188,19250.19937,14740.63881,21716.63799,18341.15461,26569.89814,13254.37464,34808.67939,23327.64669,25266.92728,0,16484.18924,15016.77819,28679.47294,26763.42655,24973.60438,17913.63537,22142.79831,16163.72328,16141.21117,21306.30855,12798.93253,17159.20209,16384.38308,17111.19006,18589.79339,28453.20292,15363.98022,16670.14854,21612.86975,11328.69731,17366.61254,12666.68602,35008.38014,15079.63304,29156.03204,15745.06718,22301.30527,9625.400863,19004.21407,17028.19344,8496.543393,9601.283401,14970.50736,16159.24004,11447.72726,19225.72086,6493.5985,16892.46374,14819.31258,12612.59842,25504.93079,11569.90679,11788.31108,11882.23245,6388.958044,27519.86891,14606.51741,14084.29944,14685.13607,12907.82556,10891.16286,9150.978886,12763.98388,6669.499545,7730.968501,6693.588884,13696.746,9442.249373,7152.154606,15617.61836,13552.26118,10280.4779,20166.7969,13440.92022,19164.8306,17378.01286,10273.85616,18843.48501,23310.87106,11553.97095,6295.506725,17362.74713,13417.59478,11877.61805,12321.37815,12447.19628,22094.10172,19854.92689,18262.39347,11077.7399,5653.383169,13852.33834,15935.45901,15945.42793,12441.92414,13029.0606,12401.89641,13623.54184,21588.57751,8245.077394,21567.9949,17971.44286,15326.71946,5758.475532,8963.714598,8672.680025,11402.78379,8100.400795,13871.86006,18932.35868,11432.70625,7296.529307,10018.24858,16317.41127,9964.923913,7900.791552,8861.942698,10365.72415,7271.54993,8177.067949,8707.989177,16268.34029
DHA_0,133534.3251,191270.5408,106810.6622,154301.5708,115012.2199,109523.4117,140900.3724,156638.7762,115537.8007,170998.8531,194909.6297,221026.951,111598.0823,136542.8897,202144.0172,127102.8828,164352.7751,93742.39463,122060.5737,125035.8462,138492.3784,117519.9464,186247.9716,131123.9869,95785.73791,132392.1852,159969.808,108683.8712,106995.9529,178132.0901,309265.6535,120206.2288,203227.6997,154680.5585,92520.99067,163786.8866,174844.3043,173340.0937,190133.3648,113837.2066,175735.5826,97359.15586,107973.7647,164735.9166,101038.0295,109061.9032,83967.99133,96687.03259,103248.7379,73456.6304,113625.1295,182817.096,83667.31921,31081.38307,33799.31365,94558.51164,147055.1957,114581.9474,119623.932,121828.094,79804.88011,117701.7389,151174.387,159383.9238,145638.9295,146955.6244,168291.9938,112744.0747,179502.275,104582.8315,71809.57471,110203.8041,53736.4685,161404.1178,127358.5421,113454.4862,115862.713,149700.33,271775.0707,106215.577,123659.8749,117404.49,149548.9949,91412.71469,174817.1387,135372.6936,129734.7842,169456.0484,104722.0048,117549.0729,120805.3659,239692.5021,109860.3848,139816.5897,140733.9892,145763.0188,143511.5536,216012.3069,91989.65235,129237.675,115718.051,119830.9207,94519.53708,107826.0853,149035.2018,111345.9278,102965.2381,105884.3659,219842.278,152874.816,149784.8352,106392.9242,168370.5737,163754.5212,151054.5597,135443.9537,105696.2559,173945.9513,104174.8569,205786.6011,115897.4227,165133.2029,148671.4798,152922.6674,168239.634,83812.25999,100328.0943,140304.5523,113478.647,71564.3772,148879.1505,92305.86057,115996.4092,101034.3949,130489.0265,150303.1187,92086.33399,81343.90556,158973.354,94097.39959,117065.5721,119262.9409,139167.7479,115092.9474,132484.9479,144769.3016,116647.5118,121640.5925,122187.317,60575.00947,102582.4021,119584.2414,121688.4209,106649.7167,121705.6692,116059.0092,97574.58607,114420.3561,86591.91497,163673.2791,183771.9402,119212.0219,150383.8739,160953.5181,107070.2782,114254.2699,112416.5226,127374.4255,118011.6735,92493.06901,144643.4672,149917.3857,150852.0041,130755.5688,125449.6673,104045.0904,113364.5096,140343.785,105023.945,156212.0891,120465.6173,142630.1666,136165.0941,118989.0128,113556.7323,212270.8497,131294.5855,110761.1503,72563.41929,86735.75018,104396.5969,135244.2545,65218.47549,105117.425,172275.0237,131317.2029,90045.8674,97240.83164,152636.3061,104222.3598,127343.9591,131836.241,108073.9149,100813.6259,105015.9171,90844.24398,129716.953
DHA_1,35113.16085,45695.31936,20828.62681,44304.95676,28106.01539,30985.70276,28377.72569,30834.78167,26883.75357,39357.23165,51017.90858,61679.11529,22487.13617,30003.98176,34327.48007,23875.46321,35966.27261,24842.25803,24812.36423,33648.15136,38007.86765,28543.05634,56666.60177,24107.70819,24929.24322,27694.69548,33430.35816,31174.79111,14488.70968,37419.19464,91015.08883,24867.84159,56422.06264,24301.50413,20587.40954,36281.32023,43419.38815,47629.49976,57340.38273,26744.64865,39723.58021,23460.72097,25280.85533,47482.69916,33281.51514,22872.85591,17120.74537,18136.16978,22516.96785,16724.13904,31222.4641,54411.10828,19100.57989,8613.880814,10347.81017,21029.87187,49312.55181,33248.82974,23595.91242,29603.03033,19019.66175,21244.5988,41461.0321,34880.0757,33861.79534,37945.18901,31094.07235,22493.87798,35275.89597,25237.103,21495.67716,23494.54996,10398.27077,36558.75609,33847.24837,29476.74392,23954.95002,33985.18551,51321.42969,20514.33052,23065.57142,27287.41902,28836.71617,21707.59704,48750.24571,28572.11207,27068.60761,32729.66307,26665.6022,17026.29843,27804.32184,60741.66063,18417.24405,31337.54439,24772.91609,43326.4312,26905.10602,43199.11344,27795.20383,29872.10519,24063.10719,22010.75735,28230.90188,31949.50987,37041.41776,28370.18112,18514.23224,23056.58366,57250.43502,32479.66936,23593.68195,26286.46081,45069.81686,24352.13691,28356.34411,37111.41604,22499.51588,39108.39364,20675.00842,58783.57281,32025.41008,28758.33249,30096.99006,47051.42625,33881.10118,23125.66523,32416.17729,34173.76016,27437.53692,21133.12274,34589.50745,22622.88927,22223.88568,23130.14938,26559.10877,31977.93101,15811.56236,23721.33581,31783.39647,24477.04864,24372.15508,25081.23979,27105.0851,28027.16268,43351.79957,20124.37533,22166.25305,31074.96235,24345.46217,21545.52341,23120.79061,20799.71013,20294.98078,18403.98854,24239.41748,40500.28579,25124.37563,28550.92734,33477.77035,32144.812,37214.04545,21866.62391,22427.90191,32006.45411,21736.81389,23788.03121,30420.30732,31392.01145,30012.86293,26774.08214,30127.9463,35158.18571,31368.67462,28832.48484,24105.61228,23832.83782,20336.50912,19745.96219,31631.26433,53495.09927,35695.01753,26775.77356,27283.89097,34561.88762,26984.0819,29898.86145,40017.45786,22821.55667,17319.11124,23279.93896,20430.72981,27418.66708,14299.89974,19825.19105,38421.36119,34484.07972,21019.81374,24915.01336,33561.3946,27035.68109,28313.20292,24063.02782,28161.55664,18382.25312,20317.59351,20863.78557,29906.90333
LPS203_0,37558.81714,85616.91464,43100.66978,0,37189.60511,61996.01915,58119.13968,62041.79275,47531.06343,54398.59073,50192.97225,0,40122.41959,47288.73249,0,29760.19037,37293.39629,43527.19291,0,54522.68604,68263.83538,46814.2469,40536.73432,40005.38765,29837.16374,45209.01646,80269.28723,54289.17063,36839.55355,64777.81368,65738.57455,29225.99598,64388.16945,60876.97461,17673.11649,57452.93508,54608.77962,25832.57314,0,47220.82161,89051.74594,41011.58807,67178.61774,52486.83157,33492.98783,42218.62966,30825.48565,32493.97927,25248.84817,21436.535,53159.48281,0,32063.2546,9696.610656,20432.35952,21929.74395,47230.53972,32700.84027,35613.69302,47402.0017,31946.24235,43810.42631,60886.91129,61660.14597,48835.18292,30341.44374,54795.9669,26210.3929,72125.14619,31603.81603,45328.00411,39396.76374,18134.25582,35174.90108,35613.83916,40448.43018,59057.98208,43517.86781,0,44107.96428,29252.64994,30826.9134,33213.74865,28530.80427,50715.0992,54333.42525,0,45597.30613,34210.55301,0,41051.42597,43468.37219,17953.39319,24294.96377,0,62521.54027,68650.76899,0,23490.47057,37659.94599,42102.58909,27604.20052,50912.62063,33655.34586,87754.48799,52334.63822,32043.06062,52366.17654,47735.62857,38080.34776,49157.26819,32844.84067,50203.14431,63567.03396,36548.98672,44278.6071,33881.56523,64986.87588,33524.86271,0,62454.94765,80828.95458,61450.03951,53218.91468,54724.36441,46882.91025,36403.41095,66399.25448,47712.5528,0,43918.41886,25275.46529,31618.65388,25830.73615,31941.41978,38225.47598,26581.62649,34742.49545,45946.67945,21270.53644,69094.87238,19712.03385,51202.12455,57710.80545,30015.44503,58065.26921,25633.77481,52081.37245,59128.83298,41177.38941,46758.39843,31654.93966,48235.83123,41465.50787,23533.13677,48490.47627,43400.42461,22505.49878,32432.96434,60862.51675,66373.10647,42347.29647,64092.23767,35269.61248,60245.42695,30402.14323,34662.99458,38976.32477,27088.05575,28019.77132,63456.14648,44062.92011,40232.45125,41340.24835,44597.06945,30864.25933,39774.6438,33957.66949,40943.42754,26433.37091,29792.79409,28425.7599,49241.61047,42853.5921,41196.81661,28798.03974,39008.79498,45943.50411,35868.83692,26479.41159,48327.02239,49437.7374,34379.14726,41476.28984,37706.42132,61020.76635,19768.49952,41074.22246,107011.7925,53436.34308,67289.58365,35981.10846,25230.58226,47894.62302,53278.94063,39422.30881,40971.92073
LPS203_1,37211.59213,0,14434.81018,0,0,0,35363.41665,0,0,19427.15562,25301.68781,0,0,17465.52744,0,0,25857.9569,20951.02078,0,0,21705.13724,0,0,0,10796.42532,0,0,0,10593.49642,0,0,20017.76607,0,0,0,31780.54212,31312.8845,0,0,16510.93077,0,20062.09753,0,30508.65226,0,0,0,0,0,0,22482.36783,0,18145.16819,6903.037801,8278.275642,0,33667.97932,0,0,0,0,0,26242.69416,0,0,0,0,21350.76307,0,0,0,0,0,21737.96649,25785.30372,0,14874.62448,18528.19926,0,17605.55428,0,0,0,11459.88931,0,0,0,0,0,20797.6001,0,0,0,0,0,22167.09759,28817.7079,0,0,0,0,0,0,0,26824.26833,0,0,0,0,24725.52566,0,0,0,0,0,0,0,56033.14057,0,0,0,0,0,0,33043.15276,0,0,26240.91872,15103.0638,0,19784.73277,14779.00848,0,0,0,40900.02104,12132.09357,15741.13685,20083.12439,0,40274.4167,13028.90062,15989.74751,18454.19799,21148.01501,19858.87954,0,15768.3082,18670.27739,14643.3085,19563.74708,0,0,0,12175.83502,0,17781.51542,15472.20151,15378.98832,0,0,0,0,19019.25591,0,0,20254.15314,23545.65122,0,0,0,0,0,0,0,0,0,0,18817.8226,0,0,0,0,28551.22641,13540.86705,0,0,0,12309.02663,0,17447.99049,26794.26818,24915.43249,0,0,28975.27665,12896.20031,24193.73563,25701.44368,0,16214.75568,24003.40526,16920.30498,0,12037.86509,23530.36596,8065.111175
LPS203_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26944.05329,0,0,0,0,0,0,0,0,0,37415.7003,0,0,0,0,0,0,0,0,0,0,0,0,0,26056.09292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29659.20362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13012.79575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19457.69575,0,0,0,0,0,0,0,0,0,0,0,0,21662.74687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19943.18765,0,0,11460.21806,0,0,0,0,998.1150205
ST204_0,470304.7324,838775.8523,349763.1989,392954.8106,529629.3089,365289.832,572419.3695,499309.9755,302248.4356,361078.5326,546824.7321,569239.5664,219142.5282,299068.8928,472523.0771,216338.8862,351584.9399,238350.4412,446598.5081,411788.0069,381334.0563,382116.8532,401879.6731,287356.7239,180628.3936,301134.6655,386923.008,334880.9814,211354.6369,348710.6916,575947.7858,232563.0386,407560.9998,311374.5922,233126.2401,418942.6365,439526.0394,383727.7442,427575.8335,265639.2803,573186.5352,442527.062,279694.2877,367165.2877,183990.7054,197366.5491,196587.6103,262973.8816,236143.4619,267357.3604,391139.2198,483886.9358,166641.9481,107820.9301,124755.5685,304721.9857,471056.5455,277131.2955,288969.7846,331343.8138,226198.4392,309534.4074,340633.7289,346850.0379,257514.6423,375223.6071,546078.7222,279141.0962,305986.4981,223825.897,268902.1489,370723.5042,199950.3892,429526.6988,219026.5997,333465.0804,343070.2129,474752.1404,421316.2375,256826.6264,243031.0498,315003.1348,425716.7046,153594.1135,425568.0093,394264.8882,288315.4664,254570.9686,170211.0839,235171.9175,328701.0498,348039.8794,174949.7752,342371.5809,332076.5535,379793.9309,315554.4364,257562.8983,223115.754,306145.9134,275693.6408,249881.3381,226065.344,373037.9919,432886.3586,214033.6095,213597.7161,341800.708,570868.481,313071.432,221946.2718,309422.9946,312024.5258,285573.6782,335227.8987,296206.9929,225613.0334,414525.9223,215795.1454,325050.0537,285265.049,326243.5293,324525.6775,490428.906,362591.8856,279350.8855,284127.696,307133.6971,271556.098,187786.0573,261400.2661,185740.8317,280043.1183,215893.291,263460.4439,432252.0185,230048.0741,232772.9702,405906.7621,183755.5317,310043.4848,206756.6245,295060.4564,494413.7833,292259.8888,215641.8204,255376.466,292689.9389,304619.1924,165209.4992,223801.3289,295928.2144,264285.9222,281756.1113,220262.9741,419350.9827,234471.8937,239363.5241,210754.5932,506099.0777,355315.9421,291910.0803,495419.6982,234915.792,256590.6413,295779.6162,251439.6769,308818.6498,307201.9819,150945.2343,384613.4551,294439.6596,268224.0966,154622.5929,323376.8735,295138.3678,270439.7878,263163.4235,296220.668,255004.2017,253445.3529,251743.6222,266096.2556,272713.5449,178522.8177,322674.299,257849.7727,169400.6698,193319.4035,183292.9445,212264.6385,200718.7484,186890.161,249740.2227,520697.8877,341943.7853,174696.1777,200581.6859,412871.6482,259490.1427,360446.4168,207817.9613,221428.2435,242466.8969,143405.5486,203733.434,309198.4879
ST204_1,143356.9952,200864.6878,76369.11708,0,130392.7908,121261.0492,95514.55503,114925.7793,76924.20767,98310.17681,67729.85407,91694.68396,68074.12294,104678.7866,121585.3716,30198.94045,115381.5422,60476.51328,101364.7782,108089.465,110292.2598,153693.3306,123761.7683,80917.02793,32267.43257,89555.92291,78529.41983,52591.22346,63663.14962,113170.7121,169141.1563,48416.84399,77914.3058,80464.92136,42632.73365,77909.8949,71319.96524,89631.13,77605.87367,41730.28853,174820.459,74204.0589,71656.398,77462.45983,32079.77672,41983.40241,69873.9833,68722.63971,77391.17156,47723.99246,72750.87796,101508.2196,40267.56514,19352.55739,33079.86453,101637.7381,83491.20221,71337.43706,89376.86406,110494.6598,79137.01436,116101.1422,97489.51666,66454.47553,99336.05925,48588.04704,91414.91714,42750.29596,71041.54391,75796.59506,80617.45141,61790.76897,40371.19439,111671.3509,36620.05578,76136.73215,98663.74881,126786.5686,95704.63725,66605.11162,36631.47191,61270.04902,84746.44601,38981.6304,100626.6095,113184.2775,59305.64104,57301.42263,92327.19767,77530.85046,68008.45194,84224.24717,52077.07533,85448.03077,79619.99812,72699.84684,49190.69096,131995.0776,63479.10603,45992.98734,61455.06075,58374.24686,96977.18089,107027.742,87153.02843,71842.56876,41094.82957,119898.2488,150514.9057,91639.09682,119098.3273,57513.45103,61829.82369,86398.39178,77276.9334,77625.55472,71406.36487,123672.5576,63502.61934,0,53137.86925,99395.77532,62371.73834,126356.5499,86892.32083,68215.14113,57745.81979,45962.28029,63079.17313,21598.24759,93745.30551,41815.80919,55549.70984,79188.36513,62913.81206,102571.2286,56362.62009,36741.56036,61607.20479,38934.53301,83573.47755,48648.90911,76357.20291,83320.88891,92830.58614,102809.5739,54521.01517,99104.67138,52064.39038,36510.78159,62982.12618,75698.3299,61345.91288,73339.04981,65124.47736,137950.1937,68144.27446,45211.26964,58149.36236,104350.6109,96468.87399,44841.05469,72959.68529,81811.26073,55912.1899,79895.86172,71117.82564,56952.71219,75261.96274,29884.34224,69209.32275,107620.6767,55895.86541,61490.93598,91859.77456,59160.36844,46795.85566,42355.07564,50595.65421,82176.79122,62193.91292,44240.84351,51054.53966,72929.93429,57834.91622,68178.12031,63792.76611,76113.79961,46886.10339,38507.72781,74338.69571,40540.51384,44025.64328,83247.73232,172953.3533,75882.85035,29175.22986,40284.44177,105765.0445,107311.8681,53931.24088,56649.40109,53090.84851,79891.10265,60012.64623,76291.31364,75666.26321
ST204_2,0,0,14498.94395,0,0,19657.0049,0,0,0,21503.40189,0,0,14248.80291,0,0,0,28421.68635,0,0,0,19007.4734,0,0,0,11820.70986,0,0,0,10156.80504,0,0,0,0,0,0,26355.82205,0,0,0,0,0,0,16426.22529,0,0,0,0,0,0,12695.61613,0,0,9247.108944,0,8257.034482,0,0,0,0,0,0,19261.14921,0,0,0,0,51181.64893,15672.50954,0,22328.89525,0,0,0,0,0,0,0,23541.57377,0,0,0,15751.05544,0,0,0,0,0,21575.86475,24684.58092,0,0,0,0,0,0,0,0,0,0,20190.44327,0,0,0,0,0,0,0,23146.66004,0,0,29869.1998,0,0,0,0,0,0,0,0,44609.3823,0,0,0,0,0,0,0,0,15440.08886,0,0,0,12813.68412,11530.88303,0,21613.80493,0,0,0,0,0,0,0,0,19931.98513,0,0,0,17095.78388,0,0,14478.19872,0,0,12612.24829,0,0,0,0,0,0,0,0,0,0,0,0,0,16888.32598,0,0,0,0,0,0,0,0,0,0,24958.62946,0,0,0,0,0,0,0,0,0,0,0,0,0,17962.9663,30711.41676,28656.18866,0,0,0,0,0,10600.26449,20952.31469,0,0,0,3885.225154
