Measurements/Samples, Spot 238812, Spot 238813, Spot 238814, Spot 238815, Spot 238816, Spot 238817, Spot 238818, Spot 238819, Spot 238820, Spot 238821, Spot 238822, Spot 238823, Spot 238824, Spot 238825, Spot 238826, Spot 238827, Spot 238828, Spot 238864, Spot 238865, Spot 238866, Spot 238867, Spot 238868, Spot 238869, Spot 238871, Spot 238873, Spot 238875, Spot 238877, Spot 238878, Spot 238879, Spot 238880, Spot 238881, Spot 238882, Spot 238883, Spot 238884, Spot 238885, Spot 238886, Spot 238887, Spot 238892, Spot 238893, Spot 238894, Spot 238895, Spot 238896, Spot 238897, Spot 238898, Spot 238899, Spot 238929, Spot 238930, Spot 238931, Spot 238932, Spot 238933, Spot 238934, Spot 238935, Spot 238936, Spot 238937, Spot 238939, Spot 238944, Spot 238949, Spot 238970, Spot 238971, Spot 238972, Spot 238973, Spot 239001, Spot 239002, Spot 239003, Spot 239004, Spot 239005, Spot 239006, Spot 239007, Spot 239008, Spot 239048, Spot 239049, Spot 239050, Spot 239051, Spot 239076, Spot 239077, Spot 239078, Spot 239128, Spot 239129, Spot 239130, Spot 239154, Spot 239210, Spot 239211, Spot 239233, Spot 239234, Spot 239293, Spot 239294, Spot 239295, Spot 239378, Spot 239379, Spot 239380, Spot 239465, Spot 239466, Spot 239467, Spot 239554, Spot 239555, Spot 239556, Spot 239645, Spot 239646, Spot 239736, Spot 239737, Spot 239831, Spot 239832, Spot 239926, Spot 239927, Spot 240023, Spot 240024, Spot 240122, Spot 240123, Spot 240124, Spot 240224, Spot 240327, Spot 240328, Spot 240432, Spot 240433, Spot 240538, Spot 240646, Spot 240756, Spot 240757, Spot 240869, Spot 240982, Spot 241096, Spot 241212, Spot 241328, Spot 241329, Spot 241446, Spot 241564, Spot 241565
AA_0,43976.05984,40488.79274,26786.66037,47120.83042,49410.92603,41046.79759,44576.89151,44374.93707,28999.11536,34329.43397,28872.94867,39779.3905,57556.34681,45634.17296,31595.99286,40344.35186,32680.24882,24083.6689,37540.6823,34019.30151,42938.51766,54530.44027,26538.26747,58763.86061,40339.37499,45216.41578,34041.08022,24554.52308,62623.75363,46608.24604,41367.55612,29786.25302,31171.17766,61281.22739,34592.74399,40048.7305,35417.22275,35182.96545,35127.92957,31078.13542,41493.01241,36845.32239,44652.79059,39620.88907,30658.86298,47131.95477,32934.64907,25312.83386,34786.44142,47623.88642,33755.79112,38558.14576,32312.59019,34023.38679,35802.76124,33043.10273,22088.4092,26082.75395,43520.78007,24649.95524,27382.30598,34669.47991,33984.9806,42007.80593,38370.25332,37015.67824,39605.97422,40508.64885,26682.05565,51618.97312,28554.54562,32759.39886,39216.1926,37995.45835,71782.88018,27752.62369,38699.2433,33005.54028,41295.50203,41089.36389,47920.77143,45723.65728,24185.724,25048.04033,28460.94723,63889.58895,36629.39439,25404.2716,44302.51193,41829.86893,28537.29768,44583.40339,39635.81972,38598.00639,52071.03166,38589.83604,28973.7606,34980.03224,57216.13303,45265.21612,54141.48615,46869.90446,47265.81215,62227.10469,30269.6414,37642.76485,40778.10318,46127.72619,37537.15119,42804.18306,58203.41449,65860.80065,39611.93699,56508.19104,43149.38158,61790.04723,37097.55096,51973.54774,38084.88361,40925.49865,37878.23858,45278.09935,41850.34009,32263.78599,47602.74658,53148.58491,47330.71362
AA_1,14273.51161,11065.84471,9252.124533,8258.788449,13499.53739,7317.917397,11331.01573,10731.1517,11830.16662,6632.348373,8987.952284,8803.139644,14673.71208,9359.157467,8919.393203,7182.620935,6750.025263,6042.021542,7506.413308,9145.505929,10581.77534,15613.83474,8712.115042,12120.13352,6769.335228,9161.697511,9095.103717,6769.813617,7820.947353,7419.614094,8305.091168,8445.992098,4655.976059,14691.93606,7880.708913,9888.640993,8613.85374,4277.20507,4391.110424,4016.357431,7895.744783,8232.470934,7601.051611,11512.76795,8147.321148,7526.153739,7117.404657,6911.869181,11340.84262,5654.359422,8078.659666,8636.888112,7328.676568,4887.805302,11153.53418,5485.202618,4615.784346,7694.589788,10422.73437,5177.146575,6666.257104,3126.0982,5256.263511,6942.411252,7528.708054,12111.25558,9641.915189,8970.208019,6603.124486,12564.73492,7934.1778,10669.45088,14634.93772,6573.912604,11311.1977,8867.247846,8536.849941,9931.632932,8838.662962,10563.40493,16515.22055,6324.038254,4254.925232,5352.77054,8549.207063,12017.29055,8980.587913,6445.168324,8993.189399,9756.834222,4919.622316,13537.43465,12276.20235,9363.977038,7925.290362,9812.311842,5742.282003,11193.77386,18544.22037,8756.791354,10064.29734,8247.118183,10441.18308,13176.10566,9255.619864,8952.010625,10173.44421,10285.08469,9084.397278,11503.28912,10171.71,13765.18753,10097.27758,13134.42142,11233.89025,13759.69239,9564.850492,11638.32561,5384.546191,10955.24778,7164.424598,7548.552506,11318.86812,9683.578558,13043.53961,14711.27493,9965.805145
DHA_0,157956.9049,145759.351,61376.08962,72347.56008,103980.2256,99272.62497,83557.15366,64106.50808,67405.70603,66022.47936,61990.32381,78094.58682,151596.1964,59324.8373,65838.32821,110287.9609,71552.50549,70991.17822,80099.52944,100969.4468,70964.99207,130590.4558,81973.74384,107316.6878,78681.88642,113077.9986,107846.6671,84981.42743,111610.4871,97915.3916,74289.41702,59427.09604,79911.71478,99322.21655,70344.93179,62331.70464,63923.55185,54635.44065,90706.34444,42959.81932,59322.2276,62492.71817,55151.59915,59988.53008,85146.75765,88901.17675,78504.21076,62194.46289,79493.36264,84521.42456,70844.38813,80495.23539,71782.32869,61280.91998,109273.0666,78985.19922,50564.663,70846.42936,67125.29982,43845.94236,74096.21151,87032.6632,82144.60433,93601.1125,61448.13792,110663.6923,74322.87364,71028.37029,68304.73789,69818.42177,69295.02117,83255.87089,99452.17263,77128.76113,147192.3737,67216.87037,114839.1813,94525.7706,68945.83403,85682.05272,83473.69241,64526.57191,80945.22491,69514.29182,71144.4551,111629.7182,119146.4521,59270.97721,69563.82442,83244.67365,56889.39524,69943.98795,74640.57695,72550.60553,61503.04373,85542.28171,42258.12331,52271.34446,91354.77928,60595.38715,70635.58968,64213.10653,66901.8893,84478.89664,56219.58329,71097.39547,74208.61864,73244.82125,65111.09625,59965.10715,66092.39963,107527.0055,52431.54381,86682.97229,56472.74691,67566.0099,55814.20823,73969.34085,52708.56172,48745.53227,41941.70971,67848.75762,54033.86778,72747.90976,90407.69765,98001.18644,76116.67836
DHA_1,15234.57262,30839.37487,13333.22496,12279.89361,17709.81119,18025.34933,15822.53969,10852.73757,21530.69142,10059.01455,13626.82217,22416.09933,30293.89234,12894.70747,16285.33729,17068.31887,12168.9483,12076.11814,12121.47366,11954.11357,21563.91595,24988.93988,15949.67911,19238.01345,16586.66005,16592.84061,20995.63634,16334.85586,11555.33934,17452.66829,13253.15363,8855.943795,18916.98369,23798.71836,11177.4606,9618.598723,10157.53177,10066.06758,11989.5766,10258.50039,11345.44557,8920.32404,10342.03509,11604.72959,9471.838206,15849.43955,13452.08841,10054.16089,13522.03939,14939.60504,14710.75125,14710.51108,12377.36146,11159.04906,14045.26262,20516.19057,10685.51731,10516.61708,13973.65329,7933.087964,11157.96843,12284.33438,16324.2916,25836.04091,13200.12299,12516.52813,16256.99034,16057.53971,17301.42156,18425.15818,9651.485845,12218.0464,13147.85649,12715.06267,32258.01635,15147.78227,22911.75955,13272.01081,13140.25334,21006.74133,15443.85225,12918.44769,16921.04604,13067.85486,11677.67781,19839.69069,13789.97476,14555.70529,17820.94304,18623.12727,9897.946344,16588.90766,12668.07723,12875.62305,12552.22694,14129.78281,7446.21588,13773.03246,23246.52249,11529.03976,15097.14967,15941.07593,11725.76736,18975.44118,11318.42817,11580.82185,17499.72111,17781.59848,16456.52735,10457.24965,12821.25933,23778.32777,10930.9061,16605.25571,13628.45705,10768.69765,8995.85118,17041.49219,12411.35018,11000.84496,9058.132151,9658.637509,11859.46703,9732.44147,14692.64523,25076.30937,19151.66098
LPS203_0,28765.59194,26182.887,20521.22727,20561.90401,46709.92333,30102.29052,26211.89079,28449.40058,31227.18838,14784.24564,15821.32425,19003.56359,34684.02805,13140.39761,22556.29656,29245.70169,19893.51367,21771.77345,18078.06031,29471.91215,42125.09179,31495.39139,26945.24049,29419.28829,19114.97148,21393.10004,36737.51185,13507.22274,27763.36902,20015.75312,23258.52976,15324.91215,21100.48083,42728.24148,23069.35987,24952.87247,33414.00284,22084.96358,21872.39298,19018.12458,16776.56628,16768.82049,20976.27176,15923.36563,30578.12137,25191.78793,24716.18564,20387.14435,24157.99084,21356.08176,17581.59548,28641.0565,22609.91921,19851.60021,33647.62296,23109.70044,27264.19192,26109.01993,12280.22415,9747.260812,15895.44239,19235.14269,14670.73122,30940.37241,21870.27849,35120.63493,20791.08487,22197.80112,21023.60459,13232.50183,19554.67348,14825.03439,22660.68651,32155.49804,34567.88542,18243.56438,26485.02314,34654.24861,17702.21227,23048.76506,26223.13485,20066.92724,17412.67395,18945.2486,17264.41727,33791.79804,36344.56331,22095.16695,18827.5924,28615.87204,15018.91787,21539.52546,24764.56883,18629.4568,25389.84622,23908.76544,18382.94025,16333.5979,23257.51882,21174.2081,18804.77295,31242.49267,24097.21158,53068.18734,19381.37104,27954.90848,36792.95042,25233.69416,19427.78053,19705.8784,20032.06398,39548.6458,15383.64495,32122.69728,22059.9565,14266.87841,17834.09269,19898.39116,16624.68051,16703.37413,20858.55215,36083.43295,30150.45552,29915.7854,28199.1754,36467.866,24969.65408
LPS203_1,11016.20401,11304.31879,6451.430017,5577.916465,17091.59725,10332.63068,8120.145876,6812.640624,7605.12289,6384.87449,5781.889882,8023.690768,8678.477438,6771.940522,17911.27291,6477.862817,11320.0406,8524.618223,6389.856282,13639.44002,7444.555872,9837.585151,13923.67102,16820.24572,8642.968831,9708.716002,15140.95071,6034.210359,16563.76424,6289.381278,7668.91397,8246.121604,14847.13941,13733.58489,9836.846205,6104.689833,4631.1891,5023.094058,14973.38794,7571.461815,11450.51958,4922.523627,6855.814517,9385.629256,15400.73383,18035.99032,13657.3941,12100.5862,19001.48572,9909.245758,6741.400351,12378.65101,14320.83876,12364.06038,0,7950.449079,7186.597805,5597.013204,5274.625771,4195.650163,9663.622254,10810.38462,15201.76832,9048.419933,12060.50649,13611.43574,5666.503356,5889.806529,11356.63175,17132.57767,6460.942229,8385.947206,14070.24366,8109.939712,28135.30089,10012.29461,6708.437764,7370.453134,13533.854,10055.864,13962.33902,6028.298427,14501.33575,8804.341345,9923.704944,10641.89154,6400.047159,4558.994155,10742.36077,7816.449285,4545.362724,9299.961069,7050.016568,10189.80166,7088.13251,6983.331799,3648.6885,11952.28339,16979.9744,14019.27281,0,13958.76626,12695.72352,7730.675818,6768.061429,7795.126463,7718.736729,14373.42096,7108.479791,9380.877551,6926.388766,17764.42529,6788.131909,8913.693691,14313.8393,12986.12784,15122.14253,6666.473016,5191.42014,10990.67116,7715.990185,9510.29603,7580.481839,7332.218024,8699.075038,0,10227.15583
LPS203_2,0,0,4733.906365,0,6845.735614,0,6026.333301,0,0,0,0,0,8292.189342,0,0,0,0,0,5172.811831,5779.823856,0,0,5204.890249,0,4205.189232,0,0,0,0,0,0,0,0,0,4018.286398,0,0,0,5578.497159,0,0,0,0,0,4883.969483,0,0,0,0,0,0,7283.724226,0,0,0,0,0,0,0,0,0,0,0,7699.071993,0,0,0,0,0,5288.448023,0,0,7721.593489,0,8156.933591,0,0,0,0,0,0,0,0,4067.27148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7238.60674,0,0,0,6474.223436,0,0,0,0,5565.925329,0,0,6621.27331,0,0,0,0,0,0,0,0,0,0,7605.181064
ST204_0,126908.3486,106141.5522,65376.3137,50137.34138,122773.2828,58092.96868,73159.10482,51576.43053,50658.91809,46497.5434,56122.84709,85523.20459,101651.1538,68478.36417,68464.91305,80063.79122,66082.60564,53201.53148,48285.27058,72048.02125,52260.83087,75586.62086,45676.49052,71373.26802,48029.25997,107640.2129,96021.12079,35636.88476,63465.55109,44675.61043,51812.64255,43540.58007,69735.56826,119722.8494,40577.49684,60293.17717,37595.37729,39766.9816,58213.36748,44445.30891,42594.6,36052.24028,40280.33711,49902.43016,52825.79341,87390.58253,40508.31501,33262.24691,58363.71864,36890.49329,52202.06892,63002.87849,37524.24007,49058.59842,55365.69103,54255.32902,32938.44984,36042.31526,35908.44546,33700.13768,49456.44329,46754.52723,44846.34714,72767.01572,37303.56265,75104.23167,47821.67285,53129.38354,57929.80971,45752.50395,43685.39009,56926.42547,98390.51992,47046.65797,68391.79648,47826.08032,73901.49126,61754.74657,62237.89003,46891.00956,58104.84975,44017.92799,39603.57719,33784.18967,47208.53003,79827.12625,73805.12254,45067.72486,46964.44532,73417.70642,32153.40324,84343.16582,73236.85466,56227.28218,37811.99508,60184.60537,38353.60313,61525.69415,84930.35511,56516.61329,69298.69723,83685.84573,63599.81011,83768.04531,45945.43748,60734.28124,79023.44533,68307.61424,64147.58934,38767.92756,51435.08179,151464.8998,49195.27907,129442.2575,40004.34155,60803.71104,45306.33673,85811.89073,49444.65908,54311.73138,49037.96541,94581.70112,88449.38608,41493.21873,93546.32596,100012.7449,73193.65945
ST204_1,36889.28073,30712.07943,21049.99243,13344.74955,17337.36042,20492.84889,21726.73384,8753.16799,11362.29229,15758.0728,14005.41784,21264.76407,16168.03151,15960.9334,19923.93268,23550.13738,15180.96616,14434.86838,14939.44112,14146.17599,12672.58049,27635.71332,20150.81305,15957.29954,14198.17469,22117.60207,16509.1582,14635.26522,12229.19792,13683.53906,9572.423876,8975.081567,16400.77391,26168.34895,8753.487624,15979.24665,8828.545238,8624.882326,15706.47951,13080.41434,10521.64729,13340.73809,20475.74358,14368.46346,23659.94456,19453.61406,11265.30137,14858.5537,12805.82806,10219.03937,10630.90521,13564.79207,22792.88562,8295.594699,8506.921267,9380.583106,7101.482413,12974.14103,7427.524048,8021.707069,22377.05203,8498.930943,14426.57983,17311.29014,7821.619596,14918.98401,17118.2946,7921.025968,10598.23633,18433.68055,18163.41861,16802.41883,20667.79365,10908.82895,30528.89735,19279.88531,24280.61526,14344.71907,25102.51565,17589.75772,24224.57828,17322.64795,19186.30078,7793.015635,8848.06367,11751.71487,15014.35633,8883.964965,9776.429399,25795.47927,12316.65118,30823.98743,12058.3719,16988.66605,7981.860936,12074.58657,9204.676869,10523.75123,31276.72141,11744.66244,20802.77262,27825.97049,18590.67481,27416.97892,6810.944406,21472.52328,21487.60826,18469.17626,11251.36886,15299.7553,16061.84114,44615.82614,9643.693776,23686.11446,9909.009019,23511.10214,19826.6878,18038.68462,8571.461695,14566.05474,18128.53721,20763.83392,16495.11012,17301.71851,23945.91064,18232.16237,18974.28069
ST204_2,8354.151563,9963.748094,0,4790.700476,11954.58078,6062.016847,0,0,6313.595273,6472.223009,5432.876003,0,0,0,5646.540501,0,0,0,0,5310.970823,0,0,6626.118691,0,0,0,5800.680813,6107.963767,0,0,0,0,0,8659.992925,4250.589511,0,0,3617.021346,4555.391298,0,0,0,5642.710087,0,0,0,0,0,5153.783757,4962.403928,4985.853009,0,0,0,0,0,4201.387734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7281.16369,5618.917675,0,0,0,0,0,0,6104.191734,0,0,0,5895.823222,8665.225995,8760.04974,0,0,0,0,0,9114.503632,5865.447981,0,0,0,0,0,0,0,0,0,0,0,0,0,6658.26401,5300.787355,0,0,11982.01419,0,8798.796909,0,0,4243.017696,0,0,0,0,0,0,0,0,0,0
