Measurements.Samples,Spot.36442,Spot.36443,Spot.36444,Spot.36445,Spot.36446,Spot.36447,Spot.36448,Spot.36449,Spot.36450,Spot.36451,Spot.36452,Spot.36469,Spot.36470,Spot.36471,Spot.36472,Spot.36473,Spot.36474,Spot.36475,Spot.36476,Spot.36477,Spot.36478,Spot.36479,Spot.36480,Spot.36481,Spot.36482,Spot.36483,Spot.36484,Spot.36485,Spot.36503,Spot.36504,Spot.36505,Spot.36506,Spot.36507,Spot.36519,Spot.36520,Spot.36521,Spot.36522,Spot.36539,Spot.36540,Spot.36541,Spot.36542,Spot.36558,Spot.36559,Spot.36560,Spot.36561,Spot.36579,Spot.36580,Spot.36581,Spot.36582,Spot.36601,Spot.36602,Spot.36603,Spot.36604,Spot.36623,Spot.36624,Spot.36625,Spot.36626,Spot.36648,Spot.36649,Spot.36650,Spot.36668,Spot.36669,Spot.36670,Spot.36671,Spot.36672,Spot.36697,Spot.36698,Spot.36699,Spot.36700,Spot.36719,Spot.36720,Spot.36721,Spot.36722,Spot.36750,Spot.36751,Spot.36752,Spot.36771,Spot.36772,Spot.36773,Spot.36774,Spot.36775,Spot.36806,Spot.36807,Spot.36808,Spot.36827,Spot.36828,Spot.36829,Spot.36830,Spot.36864,Spot.36865,Spot.36866,Spot.36886,Spot.36887,Spot.36888,Spot.36889,Spot.36925,Spot.36926,Spot.36927,Spot.36960,Spot.36961,Spot.36962,Spot.37001,Spot.37002,Spot.37003,Spot.37042,Spot.37043,Spot.37044,Spot.37045,Spot.37046,Spot.37087,Spot.37088,Spot.37089,Spot.37133,Spot.37134,Spot.37135,Spot.37136,Spot.37137,Spot.37138,Spot.37182,Spot.37183,Spot.37184,Spot.37226,Spot.37227,Spot.37228,Spot.37229,Spot.37230,Spot.37231,Spot.37278,Spot.37279,Spot.37280,Spot.37307,Spot.37308,Spot.37309,Spot.37310,Spot.37311,Spot.37321,Spot.37322,Spot.37323,Spot.37324,Spot.37325,Spot.37376,Spot.37377,Spot.37378,Spot.37405,Spot.37406,Spot.37407,Spot.37409,Spot.37410,Spot.37411,Spot.37412,Spot.37413,Spot.37414,Spot.37415,Spot.37417,Spot.37418,Spot.37419,Spot.37420,Spot.37421,Spot.37422,Spot.37475,Spot.37476,Spot.37507,Spot.37508,Spot.37509,Spot.37510,Spot.37511,Spot.37512,Spot.37513,Spot.37514,Spot.37515,Spot.37516,Spot.37517,Spot.37518,Spot.37519,Spot.37575,Spot.37576,Spot.37611,Spot.37612,Spot.37613,Spot.37614,Spot.37615,Spot.37616,Spot.37675,Spot.37676,Spot.37677,Spot.37776,Spot.37777,Spot.37778,Spot.37878,Spot.37879,Spot.37982,Spot.38085,Spot.38190
AA_0,22136.30438,77087.66237,32475.83001,38535.60597,37910.47701,25981.7231,19421.81661,51301.73179,27957.47363,30344.70456,45366.37563,33192.02166,40172.38181,43288.66813,33406.24392,30154.66841,41679.56176,52115.21148,34194.0299,36155.03473,24244.19539,32221.79848,53591.51948,26804.76187,36778.43826,24162.38485,23266.91556,29367.45339,23740.16555,36006.57887,40856.20864,33385.87288,36720.04636,30048.9366,25982.29815,42513.23362,29835.36538,25022.7335,32489.78458,26432.31955,32555.40305,44888.96808,45983.80281,25725.79937,32602.61948,22583.15211,30058.905,36484.49218,35790.84043,32948.58071,31502.8253,28849.17273,34969.73065,24744.05905,41715.05923,36369.07016,18686.57954,29054.14617,36788.82475,34797.75328,19842.48793,32889.12119,25414.92626,44746.83546,39119.20184,23921.56353,27475.77354,36639.18815,24395.42666,31568.78286,32442.49233,28283.11606,28408.72861,22404.38112,41674.86222,23698.44951,18706.0145,31915.78251,26887.81188,27928.2461,23447.87946,38806.30108,35750.91581,26983.3248,17260.60063,26348.72012,23967.46295,28453.39386,34411.21295,37049.3692,19844.61928,27526.08016,24192.45685,15731.53266,41072.58062,40667.80126,37525.7569,25365.19256,20183.88541,37003.83771,27811.68142,35950.43981,32222.02131,30492.5117,21952.9901,23641.02175,26559.63647,29104.45161,26748.54592,31383.08077,28556.29281,25067.78016,39044.25436,28444.99325,24488.17186,24404.53238,37833.17731,29006.79016,26901.24611,30436.96498,34947.71542,18604.72533,39128.33026,28334.79197,25457.3341,27312.71204,41343.99319,24781.57282,45675.62383,24515.48336,23683.72526,27188.73613,29527.93254,17766.65912,23781.44535,27977.18684,32185.04876,38661.49241,34650.42209,27387.40097,35521.77314,36108.38894,20737.88881,25351.72255,30779.35144,31409.56684,37977.18928,29875.22447,27966.83949,35961.96183,19729.47901,20031.69496,19659.0361,21205.92406,20533.49868,31549.17651,27408.18777,31778.78506,24619.97785,32231.36101,35720.36722,22023.24052,21992.50646,28847.91327,24856.78536,32261.28454,37620.32025,19130.54435,43607.91838,44089.46255,26461.17626,34631.39944,19805.22253,15337.55396,41091.47568,33796.52184,20007.74507,22212.74494,21877.81463,30137.74176,26308.6939,27582.56154,24228.25526,29277.59831,51451.1715,33604.46415,32933.34801,30202.65526,46118.4759,26009.43246,36828.5226,20906.06538,32499.86322
AA_1,4624.795348,16430.84471,6216.587324,8994.573452,8375.96912,7636.732615,5158.88732,9536.00336,6974.968622,4897.924359,9172.993921,5535.686831,8286.064043,6621.485288,7223.928142,6115.996508,8129.702066,9679.386974,6245.351893,6769.504425,3931.965615,8060.293997,10642.05236,5682.120892,6086.722869,5562.142432,5583.328961,4894.122632,4945.067343,9225.539851,7390.113382,7223.249543,8723.56331,4369.830062,4801.212779,8488.085954,8122.116371,4747.327027,7533.018075,6260.284714,6065.210462,7143.210802,9058.766615,4575.840607,6688.114794,4293.543774,7848.740978,7900.24375,5602.528297,7229.472971,6067.219131,6237.132363,8837.728174,5666.035532,13469.54698,8555.805318,4871.257962,8364.756596,10368.93359,5741.220112,3562.947749,5413.712647,4464.414304,5694.591064,10538.43977,5270.721063,7886.807801,12392.27675,4789.0059,7409.293433,7924.499607,4644.893415,5690.265465,6151.657292,10651.59769,4288.282316,3153.595078,6046.330713,6769.633159,7763.862008,5986.168614,8927.28622,9578.068598,4873.874468,4459.064463,6773.611798,7126.485656,4910.152744,4342.155102,8050.95562,3817.075511,6776.722259,6017.92721,4546.923636,10485.6886,5256.228265,7663.1978,3489.394257,4252.965295,8632.953619,4523.872529,7999.595141,7185.383672,8133.467958,4911.679617,5371.678954,5109.020776,3270.84638,4686.308418,6385.399625,6467.885049,4347.654001,7226.359238,5570.851633,3301.230777,9281.233627,11722.37811,5079.640619,5411.240792,6143.538,10227.12622,4271.523062,7573.57919,4148.604499,6808.179166,4112.100518,10840.70098,6807.055966,8717.011691,5998.372087,5130.854346,7652.845026,4808.845276,3346.647326,4637.949602,5405.901161,6927.941643,6361.703679,7523.616168,6481.48729,5170.064453,9235.924814,5561.46714,5247.016766,7443.584452,6679.720153,8020.306804,4721.845869,3118.050402,5223.472939,4325.663143,4859.664707,3243.832765,3031.139316,4208.627272,6259.765075,4528.004575,4415.235098,5923.161385,7649.541182,8709.419684,3443.562519,6275.874615,7532.275977,5499.688873,9161.518951,9061.934861,3362.485784,9885.143217,4628.603042,4158.618418,6376.349456,3962.889966,4222.939876,8270.931574,7996.935069,4456.119087,4251.502295,5116.405981,5706.542323,7660.50695,4755.83787,4500.730045,6373.377689,9024.40085,5526.02788,7712.718087,4113.869943,10966.9782,6297.923327,7109.510334,4813.120257,7510.53084
DHA_0,49839.24366,108671.0014,53277.45601,49371.83397,64034.80447,55456.38923,49282.7251,56245.72281,50866.04146,42794.87083,74342.66424,60965.5168,60907.88001,60378.88272,64996.41923,54978.15918,59487.11701,80864.74539,59888.6497,67149.46968,48649.16376,58384.92521,71459.36375,39081.8801,44177.38295,57831.45799,45999.27009,48972.7249,55273.39087,58547.87593,75140.23343,60762.64235,66515.03539,44507.43765,36139.22947,55628.1434,55717.18193,43810.19648,54386.60781,54165.14978,58432.42375,63049.04717,63368.53767,46783.61178,52872.39189,42510.9573,53902.39772,48027.64933,58486.07338,48337.66698,51479.28244,41264.42145,60623.80499,45360.67946,80381.74983,59069.07418,40336.12258,47047.76963,53531.89719,61038.56665,36679.65853,50357.123,41455.94265,50550.36408,49210.36408,45550.88977,44806.69708,52831.50599,42366.52435,49986.0049,75242.91343,41957.67502,54082.35561,41926.02797,56286.0912,44716.58505,34394.11607,45129.68778,49823.89921,51284.22478,51621.39331,47843.89319,62851.06664,44902.61599,38063.77794,51011.09431,39559.14685,35155.9722,47133.20473,57609.07007,54094.50174,46934.14657,46635.32146,41399.00163,50042.76704,65650.81379,45690.88584,46623.20862,40109.87563,53139.95926,40053.77462,44979.68146,47539.91433,60259.14052,46516.21795,45520.76719,42821.08334,47007.67597,44022.38077,39487.40422,44185.01353,39195.37792,57162.54006,39161.32965,51025.64955,56926.6788,46582.10851,49196.61054,48602.76483,44165.36793,52670.28178,41165.48345,56245.06311,57543.32831,45914.88716,41988.78217,63230.35908,53031.44308,49244.8324,44567.1562,55937.43654,58222.34929,57069.61362,39834.44921,67654.39075,45178.52267,59416.68757,42540.25089,54701.30698,54357.64318,47431.88199,52313.08063,43559.17946,52583.85121,47780.42557,57385.29068,55519.57443,47643.62819,42781.93986,61031.61185,42777.2769,43824.85804,48084.19131,37958.44946,43113.59143,53775.22276,46965.14884,55096.82042,55953.70219,60812.39641,56808.90963,47373.07032,40655.07883,61696.80966,54051.9159,64569.39136,54840.65429,54986.48198,47688.37031,85967.29491,37588.99259,47520.00276,45601.66068,34430.40209,53155.01414,52318.17592,39547.76226,42624.8652,39991.53372,51221.75595,53249.27864,40067.16196,42124.33018,41241.5246,74915.05748,52935.64891,43686.01083,52487.76314,40716.17404,32803.14112,46877.77455,42036.28097,49673.05757
DHA_1,10264.48279,22914.96221,10458.76215,11080.89026,15332.6261,10490.85431,8755.307565,12831.96806,10058.7724,8837.983391,13156.50517,12241.4376,9361.368057,16846.95147,14743.5651,10203.14315,12875.19795,11280.19632,11327.9963,13190.98709,8984.879572,11966.00961,12809.54623,6200.350378,9684.247074,9275.276212,7659.394406,10267.42626,11396.13626,10163.36079,12041.10075,14942.37396,12838.11044,7349.963991,9067.629768,11169.24803,11229.94908,7167.812948,14670.26938,10122.40121,10295.14457,9662.028451,12840.0865,9869.32157,10466.56514,10172.05222,8937.437966,8422.794684,11931.97454,9778.80488,9311.472159,11450.27846,10292.24026,7360.19105,9012.2749,10986.83504,10362.05631,10982.21011,9293.961541,12061.48467,7541.393398,12368.82771,8325.13587,10069.08575,10627.31801,7945.443904,8812.995166,7630.261256,7210.651032,9673.434296,9793.466549,7174.77174,9815.378394,7703.626605,9898.428362,8682.953987,6825.503131,8940.936948,9841.275577,11143.52769,9474.0751,11631.85182,8788.817866,11222.47002,6396.313142,10262.02243,8625.851766,7247.975699,10186.05558,11479.04714,8596.423019,8962.990955,7927.104167,7155.557506,9033.357383,12396.53133,11074.83613,8966.827371,6304.633404,9816.982808,5796.134944,8299.110275,10631.83336,10070.75208,9271.110208,8294.959333,11445.59747,9122.468629,8310.647502,9013.633596,8708.351899,8566.179912,8894.731153,8752.906028,11330.70124,6320.683973,10770.84557,9163.524858,9724.216551,8736.13919,11457.853,7336.339496,13075.95973,12674.62389,9646.820053,8191.935258,11803.98063,9734.423282,11890.05407,8137.127441,12577.55081,11085.27248,9275.631885,6628.177541,13105.96099,9573.199177,10470.57034,7702.446496,11992.08958,8587.795898,5634.486767,12168.63295,6563.939825,13857.75522,10147.2091,11174.81573,11810.21237,10978.62242,8451.131358,13636.79021,8572.966684,9283.320444,7615.808963,5836.05634,6969.452818,13364.69993,9808.275263,10908.12211,8926.43739,13470.20826,12586.54937,7698.541701,7611.018381,10807.46911,10035.52427,10834.75236,11367.79388,5945.620413,12088.07311,12293.66933,7385.329855,8629.205192,9391.457842,8330.410219,9117.741581,14464.02265,8134.479209,9291.161867,6863.436906,9627.339364,6192.802592,10270.07286,7781.822281,8885.226172,15384.08416,10286.52255,8125.714429,10207.72589,8513.282106,8086.18894,10422.59522,6846.10277,9287.461051
LPS203_0,8010.002894,27754.92865,11253.53811,23897.29655,21030.8568,8624.762936,15626.93893,21388.09214,11278.7854,9874.802151,18028.96898,16765.65523,7945.228771,10946.96636,15483.16921,6144.121184,10755.91046,17615.1756,17916.93643,10807.85409,9612.198248,16844.8901,12864.77753,10478.77494,14198.58029,12202.17788,8306.340346,9575.205424,12418.45493,10759.56991,12279.36886,14832.52867,18562.99484,10248.64422,6169.548448,14482.6789,11431.32628,13254.52302,7816.349963,8487.662755,17863.44796,23050.46693,10639.64211,6915.63818,10484.42671,12664.95674,12027.06059,10743.82006,13133.21711,11649.37301,12262.01051,8641.011544,13340.22278,10712.68765,16942.83749,8671.894839,11012.25962,11625.59174,11587.49586,8945.415868,13488.74196,8522.276975,8607.364413,12410.91862,17555.79751,12952.27297,11309.82487,13686.12825,12388.20131,12570.83925,12373.05747,9278.150575,14941.23632,12823.93695,12985.14653,9559.657039,10602.55711,13474.83679,8300.452831,16374.24339,10671.18701,16275.16473,9992.643112,11807.47299,9975.659772,7936.251302,7247.326299,8358.460112,13020.21328,9238.494235,13627.16665,11973.93996,10271.33942,3902.370684,10849.93335,6912.977033,10907.16974,11802.08549,6733.359645,9080.621599,8550.035367,12107.1065,6221.664629,12334.7955,9513.412767,8149.189545,10752.31053,14723.13792,11317.15647,10173.28256,7949.40933,8836.903827,18377.71925,13111.32559,14834.94259,12996.25899,12607.84348,10702.95687,9182.073715,9110.374941,14067.39229,13437.71843,15079.90164,12099.13589,7914.259211,9527.458256,21266.08533,13620.90062,10632.80163,9724.686731,10281.55483,15261.2709,12095.79983,9349.383824,16024.78495,9618.560506,11448.81883,11500.59128,12714.38757,13159.68779,10530.57822,9950.258633,6657.637558,14237.35338,6521.712245,12136.37902,11438.78476,8944.047043,7272.124951,16876.3435,14061.55227,14110.72945,9878.054061,12079.5763,6765.373477,11687.52103,9149.108278,13561.20846,14689.10799,14501.81156,8501.839703,13126.84623,15254.61856,18994.02748,5808.69102,11766.4625,12543.94615,10394.31795,12211.47024,15462.66484,4451.292988,10083.60268,9740.241412,10195.32721,12061.16179,8848.226657,12083.80832,11119.94294,10317.07826,11656.15397,13053.31048,7881.320924,14406.35332,6889.707194,16804.79147,20472.16193,5094.674428,13637.88023,12941.3217,8830.730379,13313.29442,16064.41639,11984.4811
LPS203_1,4018.54406,0,3209.823364,0,0,3440.302177,5692.016169,5460.325183,4885.680457,3042.910186,4506.161828,6273.786122,3819.694641,6354.035961,4185.276636,6863.298035,0,0,0,5412.283472,0,5894.821866,9093.154456,2545.731322,5763.679473,2837.756635,5195.24585,8498.545544,5613.634263,5458.854963,3742.603632,0,7112.294944,7194.088213,3406.399493,0,10153.83365,0,3669.706922,0,4015.042656,4603.365714,0,0,0,4139.260379,3569.43866,0,3771.386134,3540.747103,3770.965049,3247.53919,4653.202295,8825.609564,0,4594.882076,2897.036745,4778.010431,4049.116246,5016.832543,3040.994579,0,0,5516.085872,4157.315542,3913.620313,0,0,6357.603476,3302.686834,4242.593265,3896.27202,4241.99664,6072.584247,0,0,5635.119643,4399.605061,4753.771461,5430.806769,0,4380.548429,0,0,2561.970685,0,4178.879079,3258.51039,4759.281678,4095.124252,3388.672041,0,3624.395535,2600.787984,4097.379936,3511.406297,0,3251.285889,2823.106484,3459.709501,2945.003619,0,4585.380902,9901.754808,8119.439354,2727.009666,4071.976973,0,7071.548275,2810.333906,3582.410194,0,4741.705845,3879.390556,5605.149212,4312.158252,0,3519.531967,4777.517803,3840.245257,10031.96414,5755.174999,0,9127.695065,0,4877.397944,5209.312389,5289.909276,0,5022.058881,9486.085363,7754.175003,0,0,4335.771806,4260.626207,3594.360342,0,0,0,8920.703827,6037.741631,3774.090594,0,0,8489.610602,0,4330.939147,4338.667624,12763.87636,7556.037774,4196.453811,6554.97854,2924.503783,2843.710696,5474.04421,4201.604759,3975.624468,10838.75989,4921.818477,4007.256029,4950.876514,3260.460616,5699.419492,8446.528407,10912.82175,9707.845166,4588.597235,0,0,0,4363.825759,3113.255941,4033.697626,0,0,2631.255922,0,3307.476281,5769.43725,4649.862644,3221.809975,3562.556385,9363.17195,6318.263795,9460.693721,3473.895645,5027.807447,7082.068441,4008.867535,8279.879495,3401.31705,4781.097042
LPS203_2,0,0,0,0,0,0,0,4861.525263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4406.51378,0,0,3027.084153,0,0,0,0,0,0,4522.790621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3665.164133,0,0,0,0,0,0,0,0,0,0,0,2918.480764,3214.207955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4047.876406,0,0,3249.351338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3836.597708,0,0,0,3230.534229,0,0,0,0,0,0,0,0,0,0,3146.219758,0,3907.252367,0,0,0,0,0,0,2514.684263,2722.603818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4649.99772,0,0,0,0,0,0,0,0,0,0,0,3069.993071,0,0,0,0,0,0,0,0,0,0,2790.479506,0
Unknown1_0,22657.30477,88936.57292,26632.19822,49416.40568,46976.03952,32746.08756,33053.39245,40076.55317,35926.68014,29163.14506,55435.24392,38352.16561,28077.8484,27096.12732,29252.68216,20206.44508,34170.3036,24173.41353,29554.13929,36445.77795,20066.44729,33055.67642,55451.82783,16770.75259,41789.34536,48015.68642,34403.23431,35276.72322,45152.02696,42101.29264,30249.34098,32878.09101,42726.56477,21040.92288,21937.57799,40228.12364,39504.97985,40708.65544,29621.67925,16151.75861,27337.89753,32570.27834,32172.57954,24258.10709,56725.17663,28815.46986,35722.85901,38061.6102,33247.42909,31965.78829,35238.65487,32666.23744,53561.48569,26387.47722,38600.59276,38045.88943,29497.82095,29919.25349,32649.61916,42326.68197,29920.46409,36006.27865,23465.84894,37516.29795,32114.28274,27675.13421,30939.02351,33845.92892,31510.83521,26577.52445,29810.75174,22909.59986,38651.94909,18329.21625,32888.0234,27394.83104,27966.26212,37405.22759,29044.8412,27701.26331,33114.59158,36186.60174,35645.54916,33373.8454,24924.76167,25118.45409,21150.59109,21574.43052,16615.73367,24380.65585,27740.28741,34888.40578,21052.53338,12733.29618,52772.32767,27199.95484,26552.26078,23830.39418,23506.19527,34118.39357,21885.55009,26512.08512,20980.53827,43140.45341,32943.02599,28040.92633,28185.60997,18342.48205,31493.81296,21088.61088,16678.98524,29008.72916,55126.21968,33629.53457,24727.03046,31803.35254,27429.47339,28250.44332,35162.17693,24838.4069,31354.92859,31808.97841,43928.1222,34717.46112,18541.60452,30915.00937,62621.68553,26029.93847,26957.86449,25623.76991,34901.45116,31896.26143,52585.70321,29315.06889,44228.18003,29723.56341,34108.30405,24088.66586,34921.92222,33559.78073,34685.3425,32926.97419,17325.86803,43680.40255,30122.58741,22400.33316,31778.38118,29391.81104,24655.42292,52863.15698,36270.6858,27546.53013,25677.58283,26120.28044,23040.1677,30063.65786,37881.75895,34772.51227,42025.71884,38522.59188,18407.57496,35937.69931,29761.86205,37804.13131,27177.80766,27093.12743,49236.09106,26108.54246,40838.07417,33853.21178,15624.03126,34606.75421,26860.18509,25841.68914,37540.95212,38522.97315,20745.56374,28503.37952,28505.85595,35939.76684,22608.30943,24290.98301,22507.05321,31040.99453,43724.38861,32999.19135,17165.61675,20434.62094,42182.69217,21572.24698,26653.77016,29145.47885,30066.99301
Unknown1_1,9474.294225,20077.51222,5434.416573,10280.75707,10779.72003,7998.582044,11871.46261,11660.79028,7574.896969,7780.441694,8870.233152,7019.260806,7764.196749,4947.01252,5345.268071,4266.387508,6847.49581,6069.034787,0,11706.82932,7698.21369,11413.22318,5957.452593,8383.633191,8309.945255,6341.430529,6565.893539,10489.64288,8252.690883,8107.197134,4796.299875,7218.171609,7410.258432,4022.160172,3463.515373,10487.20139,10938.10606,14456.47932,11116.27105,3438.733341,4198.610407,5154.894118,4747.860414,7531.207485,12238.40489,7937.721626,5185.284394,8471.181419,7081.147894,7272.36213,6368.297335,11985.65851,13928.22345,11280.65682,6160.194806,0,4687.914153,5701.387449,12459.69026,9051.604756,9871.730802,6237.756366,5300.408417,7804.868441,6267.258118,0,5707.366513,8494.449654,8524.084125,7743.31398,8363.691937,5934.668209,9852.629209,4567.304859,10775.27577,8636.937692,4564.9706,14950.23431,6755.73909,6401.110994,5709.492403,7487.816318,10023.03459,6033.165902,6170.261843,11094.46764,5094.260132,6718.934689,13137.06214,5140.197461,8482.50857,10192.26181,11726.33717,4420.382932,13955.2625,8499.383656,4182.639521,9959.913952,7831.317435,3526.370143,5880.935664,7650.043429,7490.04611,11147.98987,9112.714353,6055.754974,7924.687796,4982.441153,5553.417119,6956.59462,3058.715679,5834.340163,9221.084093,6774.178301,5232.951342,7346.178016,15420.34172,12411.95607,10694.00405,12922.14791,10313.53442,3499.569974,9773.714452,11213.86446,7890.507145,7638.059785,13380.70852,10983.8688,4500.737099,6914.340159,10650.69641,7520.090324,6721.905425,4935.378585,11028.68544,9214.166382,8770.49132,5948.301259,8050.066825,8212.188046,10345.49576,7440.093633,3683.542166,10961.24229,6040.128671,7023.332196,5374.082362,8985.069844,6792.564805,7984.209356,8105.12767,6844.562533,9727.100734,5996.004639,4474.104959,8523.419819,9450.536566,15220.07564,11466.92485,10604.33008,9698.46005,10250.04021,10503.64896,6298.727691,4120.478625,5650.519021,12642.48852,4978.550217,7536.068084,7365.260875,5218.838742,6194.464701,7341.731453,8226.955596,7870.372138,5697.140885,4045.67101,6502.28551,5054.71914,8220.093208,10479.65999,6751.377732,7745.498784,7320.198816,9351.537735,6557.125354,7058.32837,8679.863465,10197.20649,4836.824645,4642.105245,8204.086331,9849.47137
Unknown1_2,0,0,0,0,0,0,0,0,0,0,0,0,3802.285185,0,0,0,0,0,0,5223.027302,2732.638498,0,0,0,0,0,0,0,0,0,4092.050165,3758.584383,0,0,3400.563565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5276.010678,4553.624117,0,0,4584.803851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5340.06297,0,0,0,2469.493451,0,0,0,2963.141657,4430.852784,0,3130.232246,2419.151399,3245.085725,0,0,0,0,0,0,0,0,0,0,0,4178.973033,0,3328.137911,0,0,0,0,0,0,0,4024.621422,2801.985429,0,0,0,0,0,0,0,0,0,0,3993.535046,0,0,0,0,0,0,0,0,0,0,3561.125109,3637.048543,0,0,0,0,4168.838932,0,0,0,0,0,0,3106.03721,0,0,0,0,2501.460393,0,2844.546091,2532.461608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4623.900504,0,0,0,0,0,0,0,0,0,0,0,3255.318047,0,2913.188142,0,0,0,0,0,0,2978.644616,0,0,0
