Measurements.Samples,Spot.82144,Spot.82145,Spot.82146,Spot.82147,Spot.82148,Spot.82149,Spot.82150,Spot.82152,Spot.82153,Spot.82154,Spot.82155,Spot.82200,Spot.82201,Spot.82202,Spot.82203,Spot.82204,Spot.82205,Spot.82206,Spot.82207,Spot.82208,Spot.82209,Spot.82210,Spot.82211,Spot.82212,Spot.82213,Spot.82214,Spot.82216,Spot.82217,Spot.82218,Spot.82219,Spot.82223,Spot.82224,Spot.82264,Spot.82265,Spot.82266,Spot.82267,Spot.82268,Spot.82269,Spot.82270,Spot.82271,Spot.82274,Spot.82282,Spot.82283,Spot.82284,Spot.82289,Spot.82290,Spot.82291,Spot.82292,Spot.82293,Spot.82294,Spot.82328,Spot.82329,Spot.82332,Spot.82333,Spot.82334,Spot.82357,Spot.82358,Spot.82360,Spot.82361,Spot.82362,Spot.82363,Spot.82397,Spot.82398,Spot.82399,Spot.82400,Spot.82432,Spot.82433,Spot.82434,Spot.82435,Spot.82436,Spot.82437,Spot.82469,Spot.82470,Spot.82471,Spot.82506,Spot.82507,Spot.82508,Spot.82509,Spot.82510,Spot.82511,Spot.82542,Spot.82543,Spot.82544,Spot.82619,Spot.82620,Spot.82697,Spot.82698,Spot.82699,Spot.82778,Spot.82779,Spot.82861,Spot.82862,Spot.82863,Spot.82947,Spot.82948,Spot.83035,Spot.83036,Spot.83125,Spot.83126,Spot.83216,Spot.83217,Spot.83308,Spot.83309,Spot.83404,Spot.83499,Spot.83500,Spot.83596,Spot.83597,Spot.83695,Spot.83696,Spot.83796,Spot.83797,Spot.83898,Spot.83899,Spot.84002,Spot.84003,Spot.84109,Spot.84217,Spot.84325,Spot.84326,Spot.84432,Spot.84535,Spot.84536,Spot.84636,Spot.84637,Spot.84735,Spot.84736,Spot.84833,Spot.84834,Spot.84927,Spot.84928,Spot.85019,Spot.85020,Spot.85108,Spot.85109,Spot.85196,Spot.85197,Spot.85280,Spot.85281,Spot.85363,Spot.85875,Spot.85946,Spot.86101,Spot.86102,Spot.86103
AA_0,44425.30056,47842.12662,67945.45988,80536.64104,65437.8273,47688.67497,68175.00039,35579.55879,53325.06562,60025.0468,63667.29059,37769.89464,43897.20381,52615.39507,39966.7459,60907.2145,38705.7119,57204.71889,41475.1704,40066.52002,45692.40761,49251.69309,71098.62662,44881.22333,42900.29861,46165.60346,47263.66183,34793.86283,45466.25132,76658.56934,37678.77395,49916.08444,43752.26205,54934.51923,43288.28832,50618.3783,56388.93369,34210.67727,56437.61149,43913.82001,49600.99468,34476.13901,46246.92599,41553.84708,60051.29918,41786.85418,51224.76945,52394.95554,62826.65396,43564.32473,52872.54031,43874.39616,30752.50613,44856.50146,47289.53704,34249.64786,42812.89247,63585.28427,74237.64495,65833.92552,46899.75518,50079.35097,47390.14945,53517.45656,39058.51398,36510.20172,68890.64785,57240.03599,62999.28349,71032.34344,73268.07481,49617.94801,60108.05816,40926.74726,47538.83169,44252.62429,39302.67083,52149.72587,48803.95418,51154.41501,42243.57622,48818.26696,42544.74678,43537.9488,55708.43078,41049.01481,51267.95487,29641.43808,53260.80704,44543.4094,46059.63034,70743.32705,37187.06147,53496.86806,40227.94253,43406.87002,42117.13359,46158.22006,43469.03614,38710.01801,46518.81848,60760.01599,58726.59955,59887.68133,51794.58992,44247.36868,38999.06511,34139.11236,69702.72244,29180.79043,41003.56311,46605.38809,33152.50773,42826.56756,32536.98526,36915.50222,43439.40997,68266.51531,38926.64534,39792.55588,45973.2351,41904.93989,49718.21871,44715.10162,65727.65842,43047.02029,48100.1318,41261.28831,34860.48707,25167.17662,49330.11935,44935.71587,53067.7598,61217.77052,57976.68917,54322.32574,40166.24808,46023.91483,40554.95617,48410.7997,55219.27549,47514.15767,45458.54687,41504.47366,42140.04988
AA_1,7018.54074,9161.891339,23251.20019,16308.8495,14129.66789,12031.42074,12666.86779,7248.152131,11301.49889,9720.077018,11119.8751,10950.40083,11313.53582,15626.47436,12072.76436,14636.26638,13689.94162,7866.3284,13317.17154,7788.41132,9419.919477,7457.229575,16000.99527,9397.678295,11032.46132,10052.70755,9670.866517,6555.687254,17276.05342,15331.06648,9161.751794,14787.08624,7858.629551,11447.48641,13603.46646,6727.722479,11653.3933,8485.746111,18743.87483,5628.368576,7337.582938,10037.05211,16806.64558,9095.235312,11801.13409,6093.709437,9870.172,9046.665321,20351.72644,8934.074082,15746.99116,8130.573734,4971.307482,9235.55929,5382.598211,5625.394761,9557.407186,5957.195384,17734.33471,12995.27564,11830.89793,16811.56696,10188.15731,9750.197879,10069.65132,9389.827981,20490.87743,14829.40213,14090.21522,22655.62571,13099.48283,10377.73069,9913.545868,14139.80247,8810.408822,7218.489894,7511.10686,11160.09402,11102.74955,12685.56919,9179.167833,16279.19025,15506.99845,6459.988498,18168.50069,12745.55743,8104.488853,9495.42857,8792.118768,15908.53195,12595.83159,18311.06086,6223.758105,11164.00314,6846.463657,11148.08535,5334.959756,13049.64173,10087.63206,9369.544117,8191.517982,13400.52,18013.5916,14645.46623,13107.63156,7702.006205,7536.670252,8656.462017,17686.133,8558.02974,8817.717542,6797.357499,8100.605628,7909.258418,4984.921405,8309.333104,14429.88419,10718.44315,10902.49418,9138.392905,16365.32576,7596.617675,8371.244688,15815.60798,17591.74123,4081.577655,10274.54717,15849.84668,7371.275243,10532.73887,8292.616508,12874.78221,10870.21352,12487.31931,15452.0566,9119.847909,6639.150617,12307.67068,10534.43241,15225.75758,18773.09861,11937.34572,8842.134258,14363.83131,11660.34188
DHA_0,63181.03001,88409.83561,102321.8711,87759.48752,107561.0692,74370.51718,100471.4442,49038.8872,62785.04746,71286.03319,81060.48257,70999.71284,71250.85311,68655.54927,51907.56228,78680.25385,65902.60457,87369.54795,65383.81925,48103.54625,50230.82005,63803.8792,93212.51725,62273.37397,62647.62929,70872.54945,63263.87505,60216.51524,68373.51404,86924.38918,63387.20906,81974.8362,81147.89309,97576.66702,63946.25967,45856.80718,91009.13005,42631.87156,71031.15252,70730.44255,52532.34354,45672.43393,64631.35279,56459.54934,71415.36534,60458.10896,82962.88872,65367.14664,70422.64772,70680.94553,132276.0543,63834.07076,44725.81367,53287.77129,58228.44047,52518.40385,83476.36771,92920.02728,86610.89722,71506.54893,83269.29585,87407.22136,74158.08129,67479.64925,60113.8341,64498.85124,89334.25086,66258.82003,92566.79701,121828.6133,75661.11,72779.17964,78382.65366,74776.51108,56564.52483,64048.2118,52589.55062,81376.56814,93013.65856,80126.66065,52773.77679,82548.36538,74123.66127,56407.5611,61501.14903,70733.33974,70957.72274,62414.59842,86335.54661,63508.00857,73339.47259,67616.98009,58556.38162,73758.64158,62215.7601,70804.79704,52051.53476,70814.22154,66640.1404,72924.74422,57889.41626,98254.29099,82363.34978,97861.84873,70145.77559,76685.1233,56964.77037,59770.10566,94597.6747,44867.21734,75139.98668,59827.05361,53135.05336,69072.37864,60780.41307,46620.21902,64397.32246,102784.8213,54685.45413,55984.07434,88301.94037,71962.13768,62552.26808,63667.28958,97923.3392,61730.95704,59734.21669,60572.6005,63223.66824,55486.95649,76600.58,72394.21515,62331.58268,105845.5852,78398.02781,86626.15201,67209.45618,80576.29914,54288.62616,69238.16337,74446.67233,51348.72164,60233.81283,66736.23883,58457.33403
DHA_1,10942.8497,20194.7189,21852.91499,22063.87905,23391.9855,22214.65819,23109.61583,12409.42442,21806.50637,20408.23192,19003.04588,16667.87423,17188.00839,16886.6377,18642.00284,12391.65917,24652.93906,14513.89844,19506.84231,15208.56709,14357.74616,15686.91765,40003.96554,13090.06425,13950.48521,14945.6269,11546.28026,14087.39366,17967.26668,21617.95218,18310.96368,17770.35418,14451.58592,28121.74128,17836.18589,16236.48537,14456.37606,6791.280099,14104.36924,16248.35846,10360.37062,13185.78896,15145.47243,11223.71391,18651.87411,13301.31358,23492.34554,18556.96877,23783.39457,12539.18756,28822.34625,22789.34475,11472.40307,20500.55842,19308.78623,11232.26849,14679.99496,20207.8658,20265.70336,15861.22829,11880.23761,20392.48135,17906.90754,19482.66412,13063.22861,18072.70054,19530.37823,22686.06294,23850.90236,24042.45989,25066.10315,12401.45464,22261.18566,19441.18491,14744.85792,13370.88325,14789.27804,15981.07276,22706.06862,15927.06751,16071.2856,21584.5759,18436.53075,12181.0121,13806.49828,17823.89318,26173.78185,13256.85276,18152.29032,17607.95517,20869.78311,20839.89396,18585.34831,19608.14251,14373.6179,16690.49397,11156.70974,14951.80638,18899.09318,13397.82474,13995.65453,24118.16145,19482.82318,16411.00377,18979.86752,32824.8855,15751.87985,22535.15818,29085.59591,9946.216501,16639.26016,18286.29153,14622.4836,10582.06114,14343.52756,15790.15782,15895.99088,22777.52437,16585.20905,12410.55345,28008.0944,17427.50414,14966.90771,18969.96686,20735.43744,17965.09148,15629.62441,20876.30419,23452.67976,12754.13391,18550.43428,19175.10574,11822.56884,24659.34611,21411.33288,25583.23441,13500.73002,19705.82379,12490.29557,23594.79249,17098.13965,14811.88056,13656.99774,10487.51099,11637.43373
LPS203_0,36496.4284,46110.00521,48694.00701,31713.29935,36572.43854,0,32667.12153,16459.10208,0,28282.27965,35145.4351,30024.00718,52934.5374,30598.96384,21137.75153,0,36669.31907,0,17037.61168,14763.25721,16032.04845,16443.1808,36148.58303,19711.31489,18149.42472,31047.08092,34354.73734,22160.77063,36730.09118,41638.12415,31336.50997,32534.07686,33353.61745,23088.18041,22117.53793,20511.92342,29097.04248,15423.62446,33015.43356,34632.86263,26640.06856,29826.77923,30587.65037,33777.77174,22539.58769,18973.61955,24602.46519,24439.82803,30823.63457,51069.079,42454.56101,36099.77016,17715.00058,35138.77628,44859.20203,27277.75005,54951.58163,34622.79237,48768.05619,23452.93394,25013.16494,39031.318,17081.69152,24246.67232,36885.0574,34419.78038,25472.40597,18472.88011,35311.72938,56895.21646,31384.55772,36956.80091,31874.74248,30692.14505,41748.85825,30577.37474,22753.98824,0,22981.03445,0,33442.95539,23557.07806,40764.45111,23364.7766,40036.98264,47601.4783,28442.0956,0,15599.26302,28272.18054,35682.18192,29701.93217,39274.99976,33165.9289,25166.43528,28913.62641,41590.16235,36527.58271,43468.62433,47715.04571,24910.15153,45909.06139,28609.50083,25770.60398,30714.26634,35405.36546,26101.31451,31350.84811,41583.53543,30445.6041,38807.69288,27968.63916,35982.86881,23882.53443,27296.70422,29227.76994,25265.84104,54769.64703,28304.15879,32800.83333,60389.82699,53423.22901,27490.46267,31719.63335,34207.95037,30112.5059,29746.94593,28798.11331,29578.05421,26569.57956,36744.67671,53496.64547,27961.22059,48130.86503,55846.81972,40220.06794,33000.8506,44394.52743,30359.03419,49098.56157,63970.82293,27774.3287,32672.80563,41655.89166,30844.76726
LPS203_1,13071.55768,0,29294.98955,0,0,23692.98176,18876.03831,0,0,0,24126.292,0,0,0,11351.59624,0,0,0,0,8571.43268,11612.74872,0,0,0,15783.29903,0,17304.23745,8600.193843,0,0,0,17852.68256,0,0,12653.16747,0,21222.53502,0,22259.21854,15783.32664,13424.20449,12946.17051,0,0,0,0,0,0,0,15419.32567,0,0,0,0,0,15340.62571,13265.69994,13919.7869,0,11236.22587,21015.51723,0,16295.78582,11162.87608,0,0,0,10806.5149,0,0,0,13742.84235,0,12870.1071,0,0,0,0,0,0,15245.43642,12775.51263,0,0,0,0,11923.84215,0,0,0,15878.7572,0,10319.8717,17161.18307,0,17887.28444,0,0,0,15358.27363,0,16438.34806,0,26374.83788,0,0,0,0,42149.80449,14987.79359,0,0,0,0,0,11839.29104,0,30683.09889,0,13948.00484,0,0,12477.4815,0,41181.74256,11101.67158,13528.77192,14343.85358,11394.23339,14079.04436,21855.56001,31162.05645,0,0,0,0,12513.83579,15136.72547,17754.3262,0,29855.89307,0,16994.69268,0,14552.36003
LPS203_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9336.675571,0,0,0,0,0,0,12525.90128,0,0,0,0,0,0,9530.462695,0,0,0,14438.59034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10262.65935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16303.18901,0,0,0,0,0,0,0,0,0,13193.16614,0,0,0,0,0,0,0,22038.82374,0,0,0,0,0,0,0,0,0,0,0,11110.08509,0,28402.37538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23009.88583,0,0,0,0,0
Unknown1_0,224741.2777,302608.4502,354792.4333,363607.2467,373647.7288,178692.2288,233903.2577,138794.4248,245109.877,278902.9238,233843.9778,159108.1727,216588.4198,135581.5615,165003.9326,160514.8624,159071.5847,185426.4024,130363.5212,89374.68918,109441.5172,84091.76926,209573.704,169880.2371,160549.3378,123404.9477,157176.5519,123754.2967,148147.1989,200893.0805,200094.9801,228451.8658,209342.3067,119872.4442,112733.51,90102.6516,150736.4299,93135.33161,235078.2573,201960.2074,163065.6497,219530.3684,209625.061,212317.344,172826.6509,142054.3102,222597.3457,136707.6137,289408.4028,279459.8516,274652.5436,142259.1033,97942.42619,170709.216,262040.2338,199771.8022,233441.0428,229258.2987,276512.0694,188794.0321,227383.6765,294629.5435,147353.1214,113590.9663,160224.9475,207483.9689,235892.6987,206483.8896,246506.6438,411308.7152,285401.5497,170548.3449,181524.9215,198070.6711,178724.4573,164194.9845,183689.3814,271301.887,298948.1783,233439.8301,199300.7761,166058.3383,200469.1355,189157.1178,129581.8808,193909.6746,184339.2611,172519.5594,203946.0876,110657.5002,193092.613,209764.1126,174962.0469,200646.2965,161738.5081,191660.084,142614.0062,169363.3219,170248.3509,195610.5431,160021.5297,272917.8201,153379.7259,291230.4791,192793.6871,254808.4476,115725.0595,157451.2559,194071.6961,112438.8963,208668.5842,159594.6176,176220.7241,154802.8098,178036.2455,147091.8422,148252.6927,233389.4255,126918.8256,266709.2927,277526.5838,271725.9007,180335.9236,161326.9502,209074.9549,177802.796,125076.4955,182710.1175,129823.0791,178757.7203,214733.5344,247742.8481,201977.0322,240862.5094,251192.7085,258702.0773,218437.7638,221342.2922,174178.1066,206407.6996,303199.7802,238506.9872,161214.9485,221785.0566,212386.5108
Unknown1_1,87134.45059,74470.17037,63981.89597,90118.15999,103602.1108,62580.70029,86927.08639,44559.38885,87862.90766,65288.7691,53959.70914,29203.84612,71877.60887,24976.06763,53831.70261,27051.88635,44443.42058,26098.34104,40878.56011,32729.72484,34354.04627,41981.65024,55590.6634,40606.19502,23323.18363,38540.77034,42122.96443,30477.6687,36437.66073,47240.6001,23009.77798,65537.80965,42766.34811,50463.2006,40343.5345,32821.46464,20993.05929,16778.48462,41882.39947,63581.83001,37357.04813,59273.56098,33456.70283,72611.6631,20788.27269,27284.20906,61560.87758,23431.94498,56808.21035,74226.62661,63456.56697,40338.86479,21983.99675,45447.53292,38042.03872,56946.61628,78209.00887,45092.09588,37134.47271,52764.85691,42374.70262,79178.84905,31758.22505,20606.75789,45740.1521,92603.39134,66272.61052,53780.58277,64078.09509,97262.22535,66601.90778,30401.63086,24112.09804,35588.07462,57015.34395,30365.12039,27771.29002,88428.01479,38449.93487,73344.33632,61694.91663,31460.20042,48341.74828,65239.21296,33488.78569,53100.56349,35296.78266,27714.16482,76571.71371,20558.07556,45228.63798,98303.8072,34461.86169,64695.13913,25891.80065,51387.0394,33087.02849,43278.12458,46174.01056,62356.58009,36844.67936,57915.10902,53464.49321,78739.51416,80232.40928,59893.62181,26426.62764,50644.42431,64809.82578,20963.31628,84433.91361,48735.94926,33957.00711,41599.99285,36917.89108,39661.66123,39826.43156,36668.46352,26363.02333,56591.17901,45939.24399,54876.4216,25708.16057,60713.34567,48498.49138,73069.62189,31225.24345,46918.38213,44482.34202,44435.16037,48839.37412,71398.97383,46620.86383,57566.73816,72262.00545,44780.63131,56276.21146,72924.40656,48715.65163,52294.29227,80320.32055,50519.9381,50185.719,31300.13919,82530.78672
Unknown1_2,16891.34486,0,0,0,0,0,20652.3606,8753.552547,0,0,14933.93402,8412.875551,19195.6252,15008.91969,0,0,0,0,0,0,0,10306.75666,0,0,0,0,0,0,0,0,0,0,12348.83289,0,0,9413.047046,0,0,0,0,0,12161.16753,0,0,15001.45091,0,0,0,0,0,0,10511.88708,0,0,12964.99275,0,14059.92802,0,0,14910.38139,0,0,0,0,11255.02224,14475.30621,0,15091.28451,0,0,20667.79173,21445.86925,0,0,0,0,0,0,0,0,0,0,13679.21738,0,0,12930.6423,0,0,0,0,0,22633.33941,10335.66997,16590.91352,0,0,0,0,0,0,0,16852.01474,17883.83012,0,0,16011.79534,0,0,0,0,27421.54234,0,9546.454187,0,0,0,0,30863.21935,0,0,0,0,0,0,0,12912.47056,12301.07959,0,19949.58211,0,0,0,0,0,0,0,0,0,0,0,17289.21364,14106.75679,0,0,0
