"Measurements.Samples","Spot.129819","Spot.129820","Spot.129821","Spot.129822","Spot.129823","Spot.129824","Spot.129825","Spot.129826","Spot.129827","Spot.129828","Spot.129829","Spot.129830","Spot.129856","Spot.129857","Spot.129858","Spot.129859","Spot.129860","Spot.129861","Spot.129862","Spot.129863","Spot.129864","Spot.129865","Spot.129866","Spot.129867","Spot.129868","Spot.129869","Spot.129870","Spot.129871","Spot.129872","Spot.129873","Spot.129895","Spot.129896","Spot.129897","Spot.129898","Spot.129899","Spot.129900","Spot.129912","Spot.129913","Spot.129914","Spot.129915","Spot.129916","Spot.129917","Spot.129933","Spot.129935","Spot.129936","Spot.129938","Spot.129939","Spot.129940","Spot.129941","Spot.129960","Spot.129961","Spot.129962","Spot.129963","Spot.129978","Spot.129979","Spot.129980","Spot.130007","Spot.130008","Spot.130009","Spot.130010","Spot.130011","Spot.130026","Spot.130027","Spot.130059","Spot.130060","Spot.130061","Spot.130062","Spot.130076","Spot.130077","Spot.130111","Spot.130112","Spot.130113","Spot.130114","Spot.130115","Spot.130116","Spot.130128","Spot.130129","Spot.130167","Spot.130168","Spot.130169","Spot.130170","Spot.130183","Spot.130184","Spot.130226","Spot.130227","Spot.130241","Spot.130285","Spot.130286","Spot.130287","Spot.130300","Spot.130301","Spot.130346","Spot.130347","Spot.130348","Spot.130361","Spot.130362","Spot.130410","Spot.130411","Spot.130424","Spot.130425","Spot.130426","Spot.130476","Spot.130477","Spot.130478","Spot.130490","Spot.130491","Spot.130492","Spot.130493","Spot.130544","Spot.130545","Spot.130546","Spot.130559","Spot.130560","Spot.130561","Spot.130614","Spot.130615","Spot.130628","Spot.130629","Spot.130630","Spot.130686","Spot.130687","Spot.130700","Spot.130701","Spot.130702","Spot.130759","Spot.130760","Spot.130761","Spot.130773","Spot.130774","Spot.130775","Spot.130834","Spot.130835","Spot.130836","Spot.130849","Spot.130850","Spot.130851","Spot.130912","Spot.130927","Spot.130928","Spot.130929","Spot.131007","Spot.131008","Spot.131009","Spot.131091","Spot.131171","Spot.131172","Spot.131173","Spot.131190","Spot.131273","Spot.131274","Spot.131275","Spot.131276","Spot.131367","Spot.131375","Spot.131376","Spot.131377","Spot.131378","Spot.131471","Spot.131472","Spot.131473","Spot.131474","Spot.131475","Spot.131476","Spot.131477","Spot.131478","Spot.131479","Spot.131480","Spot.131481","Spot.131482","Spot.131580","Spot.131581","Spot.131582","Spot.131583","Spot.131584","Spot.131585","Spot.131586","Spot.131616","Spot.131722","Spot.131723","Spot.131948","Spot.132024","Spot.132051","Spot.132053"
"AA_0",12027.31183,18170.45768,12826.1085,21140.40873,13835.88843,20447.45528,18923.26958,13863.56069,11904.84066,13141.21822,13765.37548,9342.104694,9766.174632,15968.59668,13341.47441,14012.88949,18852.07217,12181.92874,10230.00162,12250.67821,14915.21287,13673.92421,12846.86797,14848.30248,16155.98203,15694.02115,17528.77914,11780.94415,13636.99809,10499.27855,11738.32452,21223.73254,9569.676113,17343.2536,22146.85859,13495.57876,10800.02392,19220.63827,14720.22553,16784.87317,14917.33798,14339.46251,14483.34634,21245.44988,12319.54698,18183.31517,18023.09664,19280.4319,15185.59048,11144.07748,15785.10384,24047.3323,17556.58797,17378.83976,21276.11313,20580.07372,7433.601384,14468.70801,24139.12168,23264.26911,15627.18165,11308.00301,10701.342,13191.5973,10750.36434,15894.33153,14856.78321,24936.56251,21541.01727,10022.82765,11763.3061,14336.25315,16884.56665,13976.95577,16185.83172,12910.38183,25624.45102,19412.59228,17557.38608,19225.68077,14855.31216,14621.0891,11289.26055,18808.58614,13512.77943,16394.28986,12577.39713,21467.88347,12770.63194,16527.58692,16259.61338,11519.23992,19059.72123,14615.25642,12253.78015,16573.34347,18306.9017,13078.59782,8932.899883,13586.22112,10571.527,15582.5019,15311.55983,15068.73388,8244.100941,14338.04532,19207.11658,12361.11923,14378.78397,12469.37513,8817.303635,22044.39633,21659.68197,15707.58663,14087.77901,13137.82907,10149.1834,16345.69605,21627.64043,16166.9863,18531.21429,13211.55867,17062.78879,14424.92661,9634.468537,12476.71753,10066.88171,15251.50432,14150.3678,7111.310029,15476.19291,10655.55419,19347.56042,11772.51942,19097.22095,13932.77575,13961.598,13470.04225,23652.8226,9768.803597,10317.51363,17025.03651,16961.58409,11345.88837,14526.9933,17141.52968,13998.83081,19537.18964,16409.65934,12543.58724,20660.25589,15416.02565,14376.99304,9142.893872,12274.05364,17997.63678,14168.72323,12484.71135,2819.465802,15610.27795,13187.46123,18463.75925,12910.70845,12147.38035,20653.59046,10340.45549,13294.77654,14605.58464,13171.30974,13924.03591,7406.853271,13741.80342,10484.7173,14305.29479,10668.81131,14977.34256,2050.830637,11301.10313,13416.62044,10205.10996,12462.94803,7036.544831,9921.104175
"AA_1",3588.053567,4349.751077,3267.078801,5045.703001,2451.424609,6186.758623,3312.446112,3345.672778,3412.819437,3233.445244,2832.100655,2317.472082,2135.887635,2392.935793,3064.244463,2733.662602,2905.087883,3592.444173,1682.459011,3329.8793,5042.321082,3332.49363,2928.486811,2692.674396,3090.712509,4421.423763,6095.611803,4073.986472,3607.223178,3434.402727,2818.977942,3471.866067,2380.626212,3340.24684,3497.41404,2607.306473,2283.861083,4212.262092,3914.132595,3681.683308,3082.119167,2046.572323,4662.133007,6999.632972,2522.439669,3412.265953,2005.615806,4802.579857,2761.807692,4105.060428,4783.880353,4414.234849,3747.941986,3894.538377,5688.927781,5906.197392,2664.595823,3839.837905,6458.053736,4729.339814,3352.932456,1896.94285,2478.391481,2944.176655,2692.032806,5110.414433,4167.563426,4656.690895,9270.871246,2952.13,4130.562388,4105.430305,5057.687673,2771.911875,2452.897425,2931.619469,7942.53847,5757.576586,2551.382573,5060.630686,2650.602772,3112.999599,3282.057036,4070.075045,3278.191893,3617.513617,1858.490523,6377.951905,2427.204285,4047.029722,2605.937264,3422.22227,2425.790052,3701.792773,2194.25748,3448.608,3264.34855,2707.026407,2166.311746,3046.973743,2305.143106,3766.805646,3071.326214,2993.511221,2278.907623,2703.653478,5420.600449,2542.38694,3235.041174,3118.260776,1422.983478,2500.573653,4002.634185,2276.439971,4650.798715,2260.225659,2524.154546,2517.432337,4393.719006,1436.120975,4421.688395,2787.403364,5202.994137,3683.164802,2703.236275,2747.365378,2835.407608,3758.666591,3893.740333,1681.479646,4043.817763,2496.237597,3645.830069,2322.826624,4746.456586,4028.122782,3781.935398,2721.152005,4453.436786,2118.900212,2017.444439,4091.818329,2877.513571,3142.105235,2729.623294,3363.176567,1910.161862,3517.273427,3849.925723,2388.929799,2709.473946,1707.801107,3917.716498,2372.997002,3023.93319,3317.738861,2539.885606,2088.539198,490.3579774,4211.454771,2372.232414,3669.139413,3172.325504,3618.490833,5552.665575,2047.371223,2634.243674,3826.639978,1743.363345,4196.244314,1267.992206,5916.357916,2546.466843,2550.083664,1809.485075,3802.306954,329.0801359,3382.243468,3721.078788,1858.574728,3239.924121,2476.084558,2368.056641
"DHA_0",18851.04094,23319.29726,18372.6576,24793.39862,15561.73871,24750.5779,23794.24976,15400.61348,18149.11416,15970.20665,23163.2611,24044.21687,18492.34417,17875.40167,20081.00207,15269.43381,21927.72995,19218.05536,12712.44416,22493.48544,23322.08169,18294.18035,16073.21039,21200.278,18472.03174,27515.36131,26122.16998,24821.21514,18733.01329,15361.34875,20110.63288,28298.72215,10811.36662,19045.8807,22316.2048,17240.35443,17690.74584,21901.02411,24031.55609,24068.45991,19765.04019,15685.80102,19273.60388,30471.52882,23451.25526,30968.96503,29044.43066,25146.88171,26734.01999,15079.09739,25732.01246,28447.1207,25566.05422,24321.06376,27075.11969,37269.68067,15266.92908,19070.66239,25481.06652,27316.39784,22743.33334,18754.48736,16186.5755,16590.74141,19556.83326,16018.89644,21185.43963,28783.21876,47051.74281,17779.90472,20107.37715,18619.50987,23486.1236,17080.07087,18805.80631,21176.56623,36950.78526,30457.55419,18499.55099,26747.78373,20904.93307,25100.1814,23141.32843,21354.03967,19263.55861,27665.50964,14550.3363,23765.87408,18581.56207,18976.62956,17769.15534,18580.81697,19601.18483,19900.91637,15586.47564,22530.94262,19385.47491,19076.71659,19157.62108,22851.13381,18455.82861,19214.24059,18756.91164,25075.36531,14388.74383,16481.4926,19288.67008,21707.42471,17114.24406,21578.62752,13740.57962,25853.02532,22202.73462,17534.00462,26762.2111,20352.33095,17899.53419,19864.29157,23411.01626,17334.04466,26866.15358,16434.85026,22163.48463,22212.19552,21619.72103,16661.76779,18483.31963,21708.26929,16205.38372,11753.38677,17098.148,13697.03217,19855.67848,23533.91086,27524.76061,17308.17749,18367.9672,18423.97284,27094.09852,14363.97399,14627.57539,22064.34613,23470.37799,20235.58568,22808.41177,20982.54875,16564.69221,27996.56288,27805.10389,16831.82006,29136.5124,16476.39923,24679.63302,17794.02768,20038.09135,25696.35533,12615.81819,23157.78552,5507.402555,23220.56606,20466.66958,30379.14576,21566.87383,18367.09742,26490.7211,14232.1316,18041.70917,19659.71665,18671.50119,26326.26352,17487.68173,23589.09597,19490.22179,26657.24931,15126.90922,27451.54077,4096.920368,17614.03816,14754.53805,12528.55588,14264.67858,11977.94619,15282.91867
"DHA_1",4441.373583,5663.207531,4244.353085,5394.26768,3651.707675,7651.027841,4188.481078,4759.927315,3954.762569,4889.275709,5875.2621,4136.038732,4008.596105,3528.694508,5106.231599,3860.155872,5004.572554,3631.991987,3159.399749,3720.707702,4586.779731,3955.436942,3758.946305,5053.060911,3365.166172,4530.528305,6243.777816,7338.672405,4933.972031,2424.897163,6324.115742,6178.221215,2728.920259,4533.093662,4498.933807,3851.362834,4060.109747,5830.818577,5168.431126,4702.731811,4070.40951,4296.76563,4581.75619,6583.899743,8098.329137,7271.388681,5185.396979,5657.211533,6872.683251,4020.661106,4661.437409,6140.037862,5484.530284,4974.839231,7398.554713,10206.31333,3164.290962,4550.782001,6251.881906,6057.410495,5539.285578,4277.28096,4767.266163,3639.777331,5731.524275,6265.660441,3204.377339,7878.329285,9674.08821,4298.297378,3668.428799,4413.552183,5977.246494,4014.664502,6655.292641,4784.837115,10768.25081,6659.662975,4905.985045,5997.502516,4249.344112,6799.134439,6286.001719,4909.375041,3929.714161,5589.772849,3967.024687,4463.515859,4441.446017,6967.248416,4707.902199,3579.094089,4444.428695,4568.154235,2813.060094,4347.316345,3359.408116,4418.745136,2254.363967,5680.17426,4908.720723,3172.767509,3509.452671,4258.970351,3248.007068,2794.043967,4130.457511,5463.040182,4009.934878,3857.99362,3311.91127,5510.573783,5847.377784,4654.036586,4843.769445,4119.857964,3797.291364,4783.941316,8038.512928,4206.691074,5298.984618,4134.028122,3872.370249,6554.437166,5361.457539,4543.912452,4037.951751,4525.710028,3145.881758,3486.93564,4571.527993,3649.247726,4657.326262,4765.976347,4715.388136,3538.596537,5059.115025,4390.303315,5811.509746,3374.852968,2860.450336,4142.224447,3640.828933,4660.192471,3995.271852,4858.180243,3963.217279,6843.113156,5731.071698,3468.073907,5732.318261,2837.523151,5082.775318,4575.502744,4686.478285,7610.564715,2493.305368,3887.129534,1083.961008,6352.512856,4203.980159,8845.579516,5133.922039,3837.102008,4682.670611,4024.281829,4308.105267,5526.677636,5967.853653,7421.432702,4202.836487,4784.112451,2866.352027,5070.95891,2906.162567,5875.142401,549.9263287,3580.293932,4289.093873,3002.686378,3259.216845,2176.642214,3905.587002
"LPS203_0",11717.13611,9412.337568,4304.264324,12055.28922,5981.810808,11700.74542,8011.207582,8186.881358,7566.355763,5656.218575,11073.26454,9210.426456,10147.45831,8223.313802,6977.546593,6355.733854,12267.10411,7982.199376,7778.697051,9642.619146,10070.86695,7469.922309,6282.971292,13901.6289,7788.406012,7990.506497,7231.224416,10067.56404,9351.654396,7313.068005,9747.672663,8946.474641,4526.339936,6614.721466,4665.313233,8374.671604,7990.796343,11293.46784,11981.206,8474.156304,8516.926436,7612.92876,9878.710786,19791.57452,9457.549783,16726.75114,8444.943304,12484.70603,10611.53503,8453.131316,8355.926757,11386.54829,15001.41309,14588.4292,15210.06754,16716.53756,8240.95812,8457.516174,13681.13083,8585.935774,13798.6051,7000.764838,6987.04569,6275.586612,6077.53498,11679.2252,8776.461406,16735.46763,20650.36497,9717.573042,8907.598139,7071.73884,12707.1667,8976.29961,14977.36467,10612.48751,31282.45289,14746.98947,13245.14421,12224.35505,11593.03798,11490.4043,13730.84455,10030.75812,9027.619767,13469.34808,9212.945025,10714.75231,9500.169195,12258.01457,9718.006846,13518.27449,7129.427745,9703.51112,8402.697388,10722.63599,13345.18648,8014.598934,8533.678816,8069.822786,5626.035551,9763.228232,7447.90668,9748.766268,8345.212829,7764.223247,4309.447401,13329.96934,10730.16145,8673.130953,7468.848639,10942.00504,10029.69574,8539.49074,12445.49037,7227.288511,10030.57772,11211.42917,9369.799365,9153.095678,11513.68677,7751.55694,10844.37351,10241.17449,9784.218099,5669.539994,9546.060426,10538.47572,7499.742941,8161.32981,14719.38663,5748.903395,11587.94374,13923.85285,9762.501707,9059.852236,10558.0598,7609.825474,10456.25845,6295.858378,8690.765866,9017.303834,14086.35239,8067.334659,11090.10312,7553.73423,12500.54937,24520.36399,23591.63679,4431.94521,9545.762458,15486.98614,13728.19661,10748.14125,7327.467868,13216.55892,5274.417899,8540.313041,3353.592798,8448.101723,10314.95934,11923.60218,8484.522826,11207.15922,13921.90034,4949.142235,8585.240738,8935.485477,16666.33335,16857.73633,8086.753001,9966.691317,6397.70223,9364.752571,6308.083535,15447.32863,1130.624175,10409.46296,7679.315045,7991.650963,10368.52092,7865.444245,4955.159239
"LPS203_1",8058.43052,0,2504.106691,0,4534.38127,5234.313251,4181.014404,2992.306362,4442.531041,2811.157902,3219.38047,2475.277498,2895.148211,2582.908662,4071.514409,0,4561.343107,0,0,2800.348567,7677.430263,2456.320819,0,4736.043982,0,3484.99193,3924.796153,6046.832951,3396.525543,0,6425.062418,0,2357.033903,0,0,2872.83922,0,0,4222.998857,0,4877.576225,5584.410237,0,0,7144.93103,3949.183428,3561.025215,0,8021.598604,0,3949.325352,0,7561.654314,5596.587628,0,5905.019452,2443.438945,3477.58723,0,0,0,0,2681.676492,3324.636491,0,7168.097729,0,5471.535587,0,3635.936584,5230.19459,0,3924.517797,6597.613249,4546.29755,0,6493.9238,8742.845942,3307.222914,4744.452704,4679.660048,8862.132064,6500.938645,0,2760.477246,3562.758292,3174.971057,3251.246887,2871.702124,0,3603.627261,5155.057865,0,0,0,2950.306138,3680.604998,2511.884708,2913.362685,0,0,5254.377199,0,0,3126.237335,0,3694.448067,0,0,0,4191.6073,3907.405997,4007.611801,6187.313201,5082.641704,3391.383626,3331.038847,3574.790967,0,2679.892071,4370.30457,3478.480284,0,0,3031.110591,4999.656962,3666.693501,0,3706.484477,2350.11603,0,0,4774.456325,0,4027.124001,4023.17892,3809.260793,2879.202441,0,5639.672741,3615.801933,0,0,5353.769141,3252.389009,0,0,6839.640473,4484.726226,0,0,6951.710182,0,5865.100166,0,5566.00221,0,4150.790031,1370.147538,0,0,0,3313.279181,0,0,0,0,3345.686496,5510.80081,9400.383687,2754.309691,0,2456.286741,4902.614841,2781.75905,5081.123482,0,3651.425152,4370.233275,3126.483409,2921.688548,3459.527348,0
"LPS203_2",0,3557.123055,0,0,0,0,0,0,0,2636.319656,3134.63743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3270.851525,0,0,0,0,0,0,3161.041551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4239.139647,0,0,0,0,0,0,0,0,2273.500327,0,0,0,0,0,0,0,0,0,0,0,4818.711071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2884.817475,0,0,0,0,0,0,0,0,0,2851.175297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2698.224126,0,0,0,2350.174419,0,0,0,0,0,0,0,0,0,3607.419376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unknown1_0",41605.89293,43187.89281,25964.72183,56989.69551,39600.61374,50521.38347,41770.45179,45874.99946,34401.73189,37365.67234,61161.23963,36108.13035,33922.51973,35076.51904,26690.60316,23782.94476,35769.0612,41207.37516,32490.55771,48403.62625,43745.06396,37206.51936,31661.43257,51287.71235,30411.6114,39189.45087,50108.73411,38230.52173,37994.41858,26717.49022,37550.4122,47573.07861,19924.53713,29426.48788,47836.88911,38361.75011,39501.56514,54607.2628,47474.13683,39959.71473,35923.25812,31235.19767,39727.0761,78314.23592,58506.36122,61741.47204,36040.24616,47191.21945,50439.89915,41818.74883,39804.06186,50480.46407,55570.8658,61061.79197,56109.13114,77161.45937,22580.58957,39470.71799,41518.15609,42918.81543,43675.63083,32547.13046,41737.33065,35878.63921,18927.45991,41506.9734,39797.69319,70189.59617,114477.6452,34497.40621,27831.18094,29636.49315,58450.59782,36698.3383,54009.75881,48894.32493,92138.35373,78988.79745,51961.35714,62572.79218,50833.5632,53020.0442,52675.12173,38303.19419,30410.2279,47951.3388,29514.98846,33677.63831,42486.62679,47089.30653,38795.43826,41266.09499,32200.55717,37918.08399,24914.73634,32367.45242,37197.2831,32380.84163,35804.58178,32348.61737,26311.08027,48508.45451,41415.63155,42736.34177,33694.09801,28179.74762,24238.28953,38087.83056,34717.99863,39381.76329,35234.3447,28137.76335,38127.34177,36004.16085,41388.02806,29054.66134,30369.72,33910.29765,44081.55699,35968.84446,54830.53268,43760.47898,30757.10263,40855.82036,40946.05157,23123.16316,23505.29144,31155.64271,28090.60994,24448.77925,55751.13932,23513.96697,39229.51265,48276.02669,32298.26187,37743.0814,23537.5844,36915.93377,53683.38987,32030.91708,35569.56771,26615.96254,47356.68807,29843.05813,36652.60405,31240.04196,37456.9845,59826.07307,48774.07077,33535.49737,44954.12206,28740.98562,44935.81213,35524.9408,34989.34003,27520.682,22562.43663,40075.78559,6989.841238,36563.91147,28725.51966,50993.9788,19617.61289,27547.90201,41033.97647,16454.95553,22671.97674,36660.97453,42574.98016,64353.15043,21758.85952,27639.7656,14632.38513,29237.74991,32748.69556,54767.01765,5128.499192,31827.33738,26776.04474,32159.74142,29627.12602,25002.75558,16631.3385
"Unknown1_1",8664.222229,12203.97494,5459.674182,10938.67029,6692.170109,10409.80364,12304.92725,7484.083944,7842.576922,7217.025324,14607.31979,12538.31754,8879.7246,10250.12626,8087.895357,7608.231082,7334.782472,5251.342317,7680.362191,8837.891075,5195.44484,7669.066839,6284.049812,15185.17732,8587.231737,7750.286455,12567.16078,10717.60578,8062.126656,5778.974017,12090.31492,9976.67585,6383.033649,9809.066054,7365.236423,9268.195884,8462.236524,13799.11494,15784.94512,7435.731845,11758.43588,7928.967398,9505.665021,24284.97451,21746.30668,16109.86218,13834.4393,10274.88042,17805.43379,14793.73648,7258.856586,12418.01278,10706.64226,10664.19882,11454.05564,20319.18549,9632.232849,6741.244431,12654.71546,8198.752349,12115.5561,5387.45567,13538.42886,0,6569.179869,11773.34045,8641.599747,22307.91079,29889.28379,9374.892976,6008.726284,9020.288144,11371.17784,12432.42944,18395.35826,11150.73355,21666.81649,15309.41794,0,11179.76793,8497.882877,14998.04275,7301.404543,5695.790039,10249.38779,11014.99013,8227.427232,11321.95998,9110.577136,9658.221895,11476.30698,10257.58233,8003.841777,5518.303393,8619.950589,7700.469845,13024.75209,4860.502803,10148.37557,5545.217502,7651.872604,11083.86096,16149.8613,8868.942576,6628.818994,3946.824511,6250.148007,11310.03546,7867.209706,7957.372564,8240.494939,13083.70005,7874.209317,5476.542309,9032.120071,11131.88101,9007.236684,10640.12398,5496.108607,6989.247538,13953.98608,10304.42759,8620.582994,9367.403659,13895.94038,4592.776975,8301.513993,6808.11937,4848.935895,3860.96972,15858.49352,3988.809634,8414.504448,9376.644169,10086.61226,11833.41363,8879.551627,12569.87296,0,6897.938617,5196.837788,11703.74152,16701.08601,10875.90408,5607.725921,8575.544297,10753.78233,23186.95499,11558.30849,9381.15254,7124.464373,7431.088759,10735.66411,5285.795235,13437.18584,10471.10805,0,13626.18313,2057.853703,9087.814948,9251.636831,13072.26568,4136.424164,7730.179102,7669.618562,2182.105658,8849.536828,7267.240296,13482.1977,11692.27099,6943.230524,4579.744835,3259.479952,10593.3216,8529.132216,12589.50789,1005.1904,12259.74376,6281.547171,9607.465693,5376.06138,7295.19392,6266.358179
"Unknown1_2",0,0,0,0,0,0,3578.26612,0,0,0,0,2301.945464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3086.808655,0,0,0,2588.075799,0,0,0,2853.013888,0,0,0,3029.341528,0,3468.646431,6910.323269,0,3426.944535,0,0,3816.580974,2392.789143,0,0,4038.432331,4118.964072,13928.73228,0,0,0,0,0,0,2388.337941,0,2965.507963,0,0,0,0,5153.683247,0,0,2816.715018,0,0,0,3402.002443,0,0,0,0,0,0,2862.449377,0,0,0,0,0,0,0,0,2303.440576,2761.401227,0,0,0,0,0,0,3428.491428,0,0,0,3313.855053,2790.086852,0,3587.940309,0,0,0,2219.07143,4207.563285,0,2882.053832,0,0,0,0,0,0,0,3971.000058,0,4756.294096,0,3880.063493,2825.576572,0,0,0,0,2737.982405,0,0,0,0,3041.652794,0,0,0,6452.934831,0,0,0,0,0,0,0,0,0,0,0,4706.920608,2473.422816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4110.281312,2552.930729,0,0,0,0,0,3009.955238,0,0
