Measurements.Samples,Spot.249117,Spot.249150,Spot.249151,Spot.249152,Spot.249157,Spot.249158,Spot.249159,Spot.249160,Spot.249194,Spot.249195,Spot.249196,Spot.249197,Spot.249209,Spot.249210,Spot.249240,Spot.249258,Spot.249259,Spot.249260,Spot.249261,Spot.249262,Spot.249314,Spot.249315,Spot.249316,Spot.249317,Spot.249372,Spot.249373,Spot.249374,Spot.249433,Spot.249434,Spot.249435,Spot.249436,Spot.249498,Spot.249499,Spot.249500,Spot.249501,Spot.249564,Spot.249565,Spot.249566,Spot.249631,Spot.249632,Spot.249633,Spot.249634,Spot.249701,Spot.249702,Spot.249703,Spot.249772,Spot.249773,Spot.249774,Spot.249845,Spot.249846,Spot.249847,Spot.249848,Spot.249920,Spot.249921,Spot.249922,Spot.249923,Spot.249999,Spot.250000,Spot.250001,Spot.250080,Spot.250081,Spot.250082,Spot.250164,Spot.250165,Spot.250166,Spot.250252,Spot.250253,Spot.250254,Spot.250344,Spot.250345,Spot.250346,Spot.250438,Spot.250439,Spot.250440,Spot.250535,Spot.250536,Spot.250589,Spot.250635,Spot.250636,Spot.250637,Spot.250688,Spot.250740,Spot.250741,Spot.250846,Spot.250956,Spot.251018,Spot.251065,Spot.251066,Spot.251175,Spot.251176,Spot.251227,Spot.251228,Spot.251340,Spot.251341,Spot.251591
AA_0,48523.10745,33034.09793,31793.60174,48626.16716,30677.59984,39831.1873,24584.35363,42829.32173,19913.66124,26717.63539,34292.67386,45588.33837,47440.41913,23325.39116,23211.51063,29143.68716,24189.20025,28979.22799,29968.61589,29051.21733,35293.02859,39292.46378,33334.26691,29209.84471,30364.78985,36239.33395,26936.34129,25002.45948,35296.00794,38824.97323,34442.15254,41273.78233,30040.5519,46497.41865,31224.50778,50490.62272,31460.09428,36148.91804,38662.70711,33304.93289,25563.12922,23197.11192,42518.32718,33301.09029,27543.65068,36358.54467,37942.44486,37815.6718,31502.86303,34780.35535,28472.35932,21984.81546,29824.38538,43341.18011,39383.10675,21942.59022,35172.46916,46838.4512,25271.27258,26357.78324,43857.76532,23877.85263,37677.66489,49722.25136,28683.41992,25446.57986,32207.28975,38898.23266,29196.15247,39151.09928,35853.00237,43469.59683,24379.29493,22025.16008,30530.48476,23555.33258,24736.05724,27316.59674,38823.13247,17798.86824,22750.67487,36358.25977,47576.38681,32106.00012,36048.96176,47561.18001,36159.17928,37787.31847,34306.37216,33375.2942,35918.37329,37861.06797,32272.75309,45155.87151,40395.33229
AA_1,0,5687.908043,7486.436811,8269.400361,7259.934064,6792.633661,6008.602905,6074.398332,7858.859896,7919.593694,7387.294582,9218.444681,7319.670882,7265.402358,1860.397323,7292.423479,7579.570441,5393.738492,8379.124304,4718.849847,8918.384165,12612.43926,9662.263226,4470.99273,4632.61284,7265.109778,6392.615761,7460.289559,9435.63499,7105.775458,9890.717982,8172.344873,7600.47965,11735.51629,7335.282279,9276.059633,8325.455101,7966.149531,7700.692261,13044.57291,8875.137239,6573.213924,12187.69807,11045.94804,9597.962204,10908.71884,9033.910172,11010.56968,9679.486561,5086.648075,7823.361051,7034.713507,5325.361662,11457.69179,12022.37981,5219.554212,11604.2382,9715.559298,7372.82294,7336.019779,8629.482048,3574.993473,12851.65768,8510.507235,8349.270165,5295.757635,7812.901391,6219.055131,10332.30482,5754.274539,6548.990358,10287.82675,5998.980868,7589.209333,7965.669491,7199.124744,9185.796332,5542.730455,9523.099985,3443.674837,4478.820573,14477.39119,10440.15435,10797.94106,6331.917785,7256.701524,7435.804204,7888.895975,7548.934812,10124.10023,7198.295,8575.739572,4681.323957,8197.704047,7538.861297
DHA_0,74992.46875,42423.86364,58144.70302,61686.97492,48567.04093,63231.3052,44705.20727,63851.98409,68856.95477,59934.953,70915.83034,67657.56539,56783.93262,44384.22436,34988.36308,44749.95077,42230.64927,59435.49211,57120.73624,56837.44632,80998.22706,90437.40858,64039.86579,70429.37171,35241.03413,64707.08189,50734.35577,52965.19473,46655.23129,64810.44748,58477.5226,61286.02645,52358.83535,75386.81358,54262.60295,58555.40886,64609.53423,54886.8433,76903.04347,78427.76207,44817.57037,47313.84357,61476.69264,70219.12476,44492.26091,65755.19961,67808.75685,81750.86703,73906.56983,47350.50868,57908.64276,47622.07661,61633.00646,96837.04402,106771.6604,71830.82383,58313.65851,81700.89609,52577.80519,48347.89617,75938.61333,47203.46676,58069.51565,56700.93556,53086.488,47465.44453,58823.76346,73741.30982,68615.3538,73566.84101,49118.77267,67976.8088,48741.71551,52403.19207,72744.73912,45760.46164,68849.52979,53264.70862,68759.99245,52257.95053,52843.72672,66750.97363,73459.14093,48975.34969,44452.30279,45720.37391,74055.05059,51534.00592,52452.6343,57624.28758,61555.63697,47505.54123,62121.32653,72480.99216,49336.23195
DHA_1,17780.64697,14462.9502,10270.45406,10725.03366,9016.476216,11887.31845,9314.160708,15197.79571,9328.048949,18075.22153,13001.30625,19699.87049,13169.71821,9756.735013,8570.242122,11874.71524,10674.92437,11415.83017,12479.07391,11727.11538,14078.29896,9994.991622,14800.85484,10246.68226,9409.348262,13909.49894,10330.82843,9486.263898,13380.88851,10825.92846,13066.32625,16050.23676,8626.429059,16653.08497,12054.34574,12422.01984,11165.9606,15928.97281,11083.4908,11691.91034,9170.475633,11853.33465,13272.46563,23417.86348,13039.17797,12027.06383,19393.62144,15656.50415,10636.25574,12548.07281,10014.3803,9025.791368,18379.27022,19906.61357,17109.92663,13322.53485,10493.05737,21406.49753,11718.35953,14246.33328,11370.66495,12198.7486,21010.30481,11979.49236,12700.60307,12084.22035,11695.60026,11393.25113,12006.11442,8280.682106,13512.94161,21456.43201,8313.250262,15558.71733,10228.71386,10467.99189,8616.669707,9251.042861,17325.91226,10232.72913,5445.721757,12654.61179,14062.42885,13413.1242,10280.81044,9281.646669,15013.39893,11915.6602,14741.06741,12916.93649,19592.0688,11932.73429,10883.11234,12778.16439,10661.34145
LPS203_0,36605.20058,38569.15115,16787.48446,44782.04581,22795.78808,28725.69879,18078.48308,20462.44402,22295.10135,26436.06249,33656.46619,51987.87134,20019.63815,16157.07573,14649.64807,18221.80152,16661.70163,28327.9558,25777.94216,21147.5076,29664.82612,18395.65802,27810.51407,15558.70897,17165.6881,24779.10826,22339.6293,24805.58334,27051.68102,25787.32063,27449.74917,33683.69558,20232.26331,28278.54977,31287.29549,21149.95659,31523.26653,25005.32954,41107.99568,27096.90742,28139.30814,30932.07648,20243.28547,36268.26237,19234.5098,37589.93568,40862.68053,24062.82692,36766.70537,17036.74093,31930.78089,23334.04158,21555.2226,21458.50312,23067.48929,34971.84396,21577.26981,43373.02316,38804.9751,32919.23593,21814.13668,20778.88274,25175.01499,36579.58808,20934.92693,20602.01251,26961.77082,31165.64728,37739.49158,32000.1381,19308.1193,28898.60325,26254.60063,28382.29317,39057.78703,17944.79343,23600.08542,20315.1645,39159.91381,23382.39721,19331.55033,24491.12889,37729.11483,21449.51893,24881.78236,19169.55966,39683.89784,33681.35413,39451.80463,20146.69431,24236.63109,18563.49277,32055.82829,43965.51417,30331.60548
LPS203_1,17969.61382,6313.450353,8238.903418,13402.7682,10373.42485,17214.10314,5331.154507,9225.264416,10366.30703,6395.311757,10601.31557,15700.21188,9560.150395,8523.16794,7574.004039,12312.63986,5453.582256,11696.22317,10994.73619,11813.76301,9167.735056,9910.525953,14632.73699,8875.980437,9427.040866,17668.87861,11762.37478,12401.06749,15057.8825,13685.59051,12799.95201,11044.44865,10736.52517,8528.215873,8163.124087,14271.56826,19365.98825,18321.86728,7659.312383,14365.44443,10697.20731,6789.628109,14332.02372,9190.535957,9103.657727,8380.622511,15240.77608,9634.174664,9236.986408,7460.017574,12559.43541,15845.73932,6833.192573,9986.762686,8466.139412,8134.904404,5855.67344,11099.09916,6763.705738,13262.44351,9565.252413,7387.706651,5708.247909,13316.13706,8893.292294,7600.330863,10968.00467,13870.08305,21361.13102,6876.616814,6182.106455,17181.96446,4922.743322,16199.92737,15544.88123,6243.335102,10740.89826,16676.1586,16998.30291,10885.28409,10430.8502,6993.897377,18775.66579,17006.25139,14562.13892,10771.23359,8051.926945,15568.49014,15201.94306,9848.864658,16754.15423,12864.54583,14634.03189,20786.00863,12159.69125
LPS203_2,0,0,0,0,0,0,0,0,0,0,5993.59592,5209.14875,0,4491.352584,0,0,4099.038914,0,0,0,6225.723358,0,0,0,0,0,0,5047.300676,0,0,0,5463.726591,0,0,0,0,0,0,0,0,0,0,6822.29522,0,0,0,0,0,0,3989.554773,6039.673986,0,0,13219.25357,0,0,0,0,0,0,0,0,0,0,0,4195.262191,8639.383082,6316.448569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4864.990799,0,0,5318.331729,0,0,0
Unknown1_0,96332.6891,71874.4769,69477.80837,63733.72848,37312.24808,75229.27216,70372.90052,67913.80465,122861.6367,101641.2119,94708.20027,84674.23433,55697.28613,51299.93777,46062.28747,48657.66698,42885.45393,88518.80868,65550.30508,85903.90915,82899.1731,59829.02908,59979.34822,80067.18898,35650.48174,62041.24841,54146.03237,67623.28733,68815.81836,73433.12481,79739.26143,62595.3879,55203.12566,90330.04526,68899.00019,68802.10562,64952.62359,85342.14127,80980.69106,71938.78807,50820.94656,53903.50305,73907.64165,66512.69203,60483.15265,63661.4457,61671.74087,70646.07602,78938.54887,33746.3551,94960.03405,72073.1453,64829.16446,67262.07418,95903.8676,65751.07972,62949.99878,99988.51399,63381.56361,38462.93292,53990.72906,68671.37515,68478.83084,58443.79239,45896.30224,57397.18401,73597.07169,87331.71044,87103.89469,48585.99414,77990.03368,76115.13099,45705.87,80479.01569,74357.30941,55128.68445,67399.41412,54534.83454,91875.8422,48683.52812,53480.7589,55772.17159,97252.56297,66891.69933,48897.5882,52227.98744,60565.55276,55785.36658,69345.61232,63821.63136,53724.13964,34889.35444,63070.841,45874.67186,65154.36113
Unknown1_1,27141.02521,28540.17735,25617.23866,16180.6888,11298.30989,25649.37749,18402.95703,18976.11116,19784.84693,30464.98481,20238.63686,24983.94812,17890.13304,16603.28095,18296.81884,16107.10038,12984.13823,24969.86672,19017.48221,21445.7914,23298.86388,17038.9141,17462.95641,28765.9557,6248.565807,12228.22472,13318.18596,19089.14364,11167.37576,11729.58655,23905.98035,16018.96485,11193.31045,23478.35359,15675.78915,20148.88502,17858.2707,26496.06123,15525.39814,27896.82487,24389.62276,10916.94752,25333.79054,18408.09886,13645.32854,21056.75542,23281.7711,18800.41211,29787.21243,18678.06303,18174.79334,25583.00458,15932.15704,29734.54732,23582.25255,21682.32334,14316.60916,35481.39381,13806.14996,7986.049899,11313.0935,10843.66892,24031.27932,25490.37763,7700.994387,20640.10005,21619.12617,26824.64084,26146.62244,22847.67875,12214.85106,13327.74886,23069.96612,14532.23107,18431.59791,13857.45388,20334.82745,13628.978,24038.10146,8556.522848,12558.00647,11149.55305,19848.77116,18440.64454,10917.17034,0,25383.68721,12272.94959,23932.85934,21101.21564,26037.5001,17737.37514,22196.68354,20957.77805,24391.52625
Unknown1_2,7591.946305,0,5017.979679,0,4255.861288,0,9059.701382,6582.331099,0,0,0,5585.352938,0,10278.62005,0,0,0,0,0,0,5824.553029,0,0,0,0,5852.444995,0,0,0,0,5869.12789,0,0,0,7384.207811,0,0,0,6300.608479,0,0,0,11540.77272,0,0,0,0,0,5828.466256,0,6529.22445,5244.689142,5650.302771,0,0,5094.329859,0,7653.43051,0,0,6026.962674,0,0,0,0,0,0,0,6090.816934,0,4590.8666,0,0,0,0,5434.718216,0,0,7634.572396,0,0,0,0,0,0,0,0,5463.663397,0,0,0,0,0,0,0
