"Measurements.Samples","Spot.22259","Spot.22260","Spot.22261","Spot.22262","Spot.22264","Spot.22265","Spot.22266","Spot.22267","Spot.22268","Spot.22269","Spot.22318","Spot.22319","Spot.22320","Spot.22321","Spot.22322","Spot.22323","Spot.22324","Spot.22325","Spot.22326","Spot.22327","Spot.22328","Spot.22329","Spot.22330","Spot.22331","Spot.22332","Spot.22333","Spot.22334","Spot.22335","Spot.22336","Spot.22337","Spot.22338","Spot.22339","Spot.22340","Spot.22382","Spot.22383","Spot.22384","Spot.22385","Spot.22386","Spot.22387","Spot.22395","Spot.22396","Spot.22400","Spot.22402","Spot.22403","Spot.22404","Spot.22405","Spot.22406","Spot.22407","Spot.22408","Spot.22409","Spot.22410","Spot.22411","Spot.22412","Spot.22413","Spot.22449","Spot.22450","Spot.22451","Spot.22452","Spot.22453","Spot.22454","Spot.22478","Spot.22479","Spot.22480","Spot.22481","Spot.22482","Spot.22483","Spot.22484","Spot.22519","Spot.22520","Spot.22553","Spot.22554","Spot.22555","Spot.22556","Spot.22557","Spot.22558","Spot.22559","Spot.22560","Spot.22561","Spot.22589","Spot.22590","Spot.22591","Spot.22628","Spot.22629","Spot.22630","Spot.22631","Spot.22632","Spot.22633","Spot.22662","Spot.22663","Spot.22705","Spot.22706","Spot.22708","Spot.22709","Spot.22737","Spot.22738","Spot.22782","Spot.22784","Spot.22785","Spot.22814","Spot.22815","Spot.22860","Spot.22861","Spot.22862","Spot.22863","Spot.22864","Spot.22892","Spot.22943","Spot.22944","Spot.22970","Spot.22971","Spot.23051","Spot.23052","Spot.23135","Spot.23220","Spot.23306","Spot.23307","Spot.23324","Spot.23394","Spot.23483","Spot.23668","Spot.23762","Spot.23763","Spot.23859","Spot.23884","Spot.23956","Spot.23957","Spot.24055","Spot.24056","Spot.24155","Spot.24156","Spot.24257","Spot.24258","Spot.24288","Spot.24292","Spot.24361","Spot.24362","Spot.24464","Spot.24465","Spot.24495","Spot.24496","Spot.24497","Spot.24498","Spot.24568","Spot.24574","Spot.24602","Spot.24672","Spot.24673","Spot.24776","Spot.24879","Spot.24880","Spot.25130","Spot.25202","Spot.25504","Spot.25608","Spot.25609"
"AA_0",33173.35108,32042.31564,37693.37617,34039.72583,31782.8861,30447.9391,37097.37153,33916.87506,28472.553,28882.75452,2375.176341,31627.80841,45254.22152,50203.75506,50938.83194,34268.33198,58628.67449,35320.7652,52740.94349,40772.09011,52047.32965,41557.10052,56144.67214,43610.13171,25590.22241,7189.924959,21363.32985,25967.2613,34586.93279,35896.7532,28571.21418,37560.2205,51133.80858,38278.1454,50412.93486,44510.12326,33702.04467,34675.9741,43078.87387,48798.31802,34777.59195,24193.07617,27368.9713,36722.12362,26971.42209,25483.97133,32527.32037,33726.52184,39948.41438,56362.52952,56772.61559,37591.26701,38251.09304,41818.51278,42558.16184,46915.96459,33645.82532,36989.60971,39425.32526,44233.68571,51581.86189,35451.8473,34351.04829,24872.34442,39351.10033,35998.87973,36669.65478,40369.74037,52780.44266,32610.24631,53845.32715,35011.58174,42483.36594,31299.00019,34594.6263,29767.58993,27306.07159,32709.63905,34730.13731,46593.62831,44506.23279,41219.67806,34723.74105,38906.6618,46551.41461,21232.10648,7367.20843,54805.47301,44291.55586,46722.35888,25995.03063,15572.923,17050.67923,37965.47781,33794.32472,41316.02015,31305.77673,35298.46568,35170.22152,30533.16445,39928.15226,34286.14433,42582.90932,43845.19808,38748.59829,46898.22732,36041.28446,25986.74539,30765.54263,38963.34667,38705.06734,36477.05355,29995.14338,49167.19239,56953.62142,40946.12315,37288.77569,39477.82652,33648.74179,41950.8065,28605.56215,61025.3714,30017.31342,50568.14154,40629.97385,50600.64279,45896.94597,36019.3721,34183.33715,36192.52912,46541.31216,41016.44501,23627.77843,26192.87621,31310.81421,57723.42596,50013.56712,44617.6313,25637.32307,45513.52294,33522.17917,47796.75575,62860.36323,22759.06222,32032.46323,40672.56167,33041.95421,37935.92918,26026.58953,35434.93844,42897.05727,22891.56966,26391.91057,28606.19729,27366.22245
"AA_1",8968.9324,5779.124914,7228.265662,5320.812035,7388.461866,8611.422947,10567.84019,9171.257461,6238.012628,4255.174064,911.5867976,7693.739014,10174.95062,5999.168025,7315.255474,8647.01532,10081.41928,7583.722806,13220.77474,9167.132743,10686.38343,9578.433642,9271.311682,10903.39024,4600.294927,2142.790544,6905.381019,11729.19046,3838.474839,10015.11705,9539.693305,11197.42164,15260.36969,11456.07559,16963.13888,12830.6041,11277.79606,8864.614227,8484.95641,12750.56408,10877.60277,6285.095523,6006.179996,4451.966773,9232.617887,7843.437068,11039.54464,8764.136736,5938.18118,11464.47944,13486.72322,7830.470946,8298.173404,12310.80516,5830.716142,12898.55881,5451.76131,7847.21991,11119.65519,8880.119186,11857.61796,10827.02037,7048.023214,6160.000341,8056.39856,11767.63548,6631.265461,7072.23793,11050.5553,6245.260999,13758.22584,9064.181678,10985.44862,9471.589902,7924.559171,5896.645439,3146.881168,5235.126934,8848.57501,7262.650106,10805.72736,7522.026211,6400.307806,9330.616539,7887.742033,5420.076748,1215.55451,14752.2948,4841.045889,14145.77376,4788.635406,2242.653037,3354.339259,5752.357366,9649.976512,12524.93582,8139.264428,6729.442791,6589.242913,5749.026765,11541.54345,8521.930956,12015.86602,4844.458169,7260.9839,10863.45127,6611.468685,6363.363561,7611.595398,5961.695519,10607.07253,9152.778984,7645.525457,9957.360158,9817.405502,9520.662994,7325.913198,14770.07136,8614.107261,10300.33155,5397.542929,9922.784502,8403.543828,12052.23818,7072.452401,11797.89019,12093.87329,8746.867536,6716.430155,6508.887715,10073.86754,16337.94795,6589.766345,4036.06247,9120.847367,11820.64147,10656.17072,8681.098272,7343.6034,15440.80665,5566.829154,8998.748194,13213.9932,4048.548431,8453.001034,9469.077861,8105.577997,8319.114962,6761.603921,5881.646663,10504.81974,4339.938482,6406.665985,4301.77336,7369.317061
"DHA_0",74122.28255,59359.16864,64997.89822,55117.2747,73689.99293,57107.63644,68572.44687,55049.21928,50901.12981,40160.53989,8673.077094,53554.16786,75227.5493,64272.91569,84499.31713,58133.02596,82932.30258,44516.57763,88895.51244,50796.4552,88296.22974,53309.18979,73197.95299,57331.27608,43136.76075,16150.25778,40679.94242,45198.71492,46908.56356,79339.29051,62911.85266,67689.89128,84248.13109,68613.82723,66027.40338,68730.48406,61064.89273,63254.83485,65118.42257,75830.61768,68860.16102,42278.46236,59526.02118,41607.06979,65076.35983,48782.29017,46458.49236,45549.95869,69325.05887,66851.01972,64768.1126,57929.97916,49385.50235,58937.98297,67126.20744,71685.54099,64300.17199,34927.20706,62122.6697,99678.59117,78192.50873,69210.6074,49776.2148,56565.25192,52166.99214,66789.24818,68932.30535,44478.22029,79636.7899,46431.75107,61221.12366,58945.30026,71782.83681,52042.81507,67131.56174,47703.9689,35395.04473,37142.19739,46711.19628,62887.12339,70321.32361,74064.86308,62237.11991,70233.09374,75856.48031,39823.27407,14806.63707,81022.30658,43580.80427,77568.24433,69656.59038,37818.65452,48981.04241,55091.04551,45724.38058,81786.12786,67069.85276,61381.78282,54039.25684,73128.37265,62375.97959,53604.96356,73633.90931,62826.80449,58434.63599,76287.10822,82001.77315,41338.49105,53375.37075,80140.80882,69272.59919,57385.76436,48189.7522,62034.79958,78484.27269,89026.00059,63202.32537,77700.56804,65171.59955,77017.41834,72888.83484,80643.43565,52047.87432,68503.99016,83796.97327,71509.91892,78524.39564,62495.48476,59309.05064,63507.7417,70642.64516,72955.89289,66818.34791,29926.54249,82291.87631,73715.87991,103392.4664,103505.9783,50267.63742,66002.6751,50643.84378,54364.50276,83060.00788,24263.97881,52246.29497,72726.94176,74672.08306,71861.57216,47070.07787,52294.65236,71782.30042,27794.18667,43496.61621,44243.18006,52031.52616
"DHA_1",12607.55608,10957.26406,10808.86245,14206.14735,11364.99959,14852.197,13981.07352,18639.85873,8810.142339,7147.14574,753.6768478,15337.85305,14993.68617,16298.73673,13773.56094,15069.29126,18611.15822,15279.85874,17080.03825,12194.13552,18458.8443,13542.39163,16837.09648,12395.65319,7215.706156,1994.196787,12879.24665,7767.902574,11664.17173,11800.9122,11255.93089,19237.52516,18141.06606,14635.93535,13931.92387,21942.65579,13126.71254,11920.55823,16379.74295,14057.55109,9402.21018,11160.46405,11189.41587,5745.927783,8617.67088,9667.092977,11176.06146,10420.15732,16167.0022,19260.58887,17493.85897,13739.92088,9280.630218,12976.48106,16832.86757,10856.63384,11966.79529,8152.535711,13119.32004,13351.15997,13156.18633,16876.57271,12348.38132,12567.77554,12590.06113,15928.60213,12097.11667,13099.93397,10923.23907,12782.43453,13922.08364,10710.63484,17793.96153,9609.627059,18239.33158,11017.80328,7537.886205,8169.087563,11753.06847,13423.02512,17205.63307,15343.5656,9514.436106,11271.5743,11870.40234,7924.835813,2313.836276,14371.94723,9215.369259,14599.34007,11741.83113,5523.89783,5988.175303,10466.27492,14442.64644,16543.57807,15417.00062,14303.44293,9337.597464,11021.51026,11147.98093,11305.18791,13214.41347,12880.23252,12134.22893,9524.875974,16775.53757,9813.845825,8946.09371,15066.45244,16582.16184,15818.84811,8904.228362,13460.50697,20316.73586,18375.48055,10378.50937,15501.54994,14015.39088,17587.85093,7839.140227,16674.66526,12545.66438,12425.71222,19502.51215,16509.51693,16929.02519,9298.456062,9637.282089,17123.43603,16621.19723,15092.89512,8355.804645,8662.83041,17256.03873,15850.45752,22560.30125,24915.90936,9082.336477,16189.4832,10271.52217,15011.54156,23449.01052,6613.134663,10347.76901,14239.69773,9197.439731,12303.19452,8225.458076,9173.80239,14655.05194,5200.780244,11577.45377,9290.831983,11956.04118
"LPS203_0",19291.20555,22038.92129,19921.58928,24956.74629,23408.31953,31472.01789,17591.19703,16952.95058,16636.63115,14819.06297,1539.747927,17088.79462,21197.47586,19802.36682,18173.95679,13530.04148,22075.78518,9561.248173,26266.83606,15850.60737,27775.89145,28881.81028,21183.46099,16503.73887,10959.80726,4041.261912,12855.63119,13410.55781,14140.66009,22162.12737,19953.32907,22845.58253,29669.67092,18144.22444,20718.89872,24795.20131,13706.39157,17724.85348,16419.40117,29835.27602,38545.34928,16462.57708,29402.07045,15941.36863,16424.27457,19848.3847,19116.37799,8510.145758,17574.43834,18485.81711,27486.6175,20362.36089,23656.89965,23808.84198,25084.9568,21919.75542,22881.79728,16436.67829,16455.23333,35109.00595,34271.74199,24294.94966,26977.94754,13060.80913,23414.72093,25099.63317,17910.71365,19064.0423,19813.79245,17416.69652,17680.5573,14766.72134,18492.04165,18782.25414,24736.49009,16779.45983,16531.46225,12956.38403,16229.51727,24758.48115,23587.63106,23996.6718,16548.51798,23756.24507,26624.89951,16231.6441,5327.963631,16503.50839,23926.02763,25237.76857,31375.26652,16179.77399,16473.76854,22257.94065,18039.15827,30057.89922,24906.18857,39265.12747,12705.94514,19214.09473,20794.97188,13992.51946,24716.34655,25721.60077,27208.14812,17750.92769,43752.43329,10345.45443,23356.3834,25885.76517,22175.78898,12788.13672,11873.13711,21311.45367,30946.56375,24697.11116,21860.72453,17811.89154,23595.75454,16593.54853,30165.70193,30731.54879,15192.91141,20300.36979,32384.57945,18592.48702,25962.81212,18039.10749,18711.61171,16535.58217,29196.85822,36201.27456,14195.63587,9738.652884,27633.70286,26886.56444,24593.28269,22225.99828,22269.80519,19141.26862,18334.62306,13405.85127,22908.9972,12023.20593,14869.88371,19058.40069,21017.99556,28060.88306,10761.03434,18855.34133,14916.58055,10528.92537,13735.79817,17103.21243,19348.91289
"LPS203_1",17859.55816,8101.925565,9268.607935,6683.27308,14315.3614,9626.641223,7302.905191,11681.17244,5676.886419,13240.48207,918.4028473,6968.800152,10670.34203,13718.3231,6523.839936,5945.544966,7364.339987,9679.032706,9927.751709,6105.767724,0,9499.71134,6780.253127,7333.579189,6353.014694,2258.080235,9922.661128,7075.817281,8902.960218,6182.543784,11581.35134,11344.51704,11179.50095,0,12974.13882,0,13820.88326,7438.350863,7410.833062,0,19297.34438,6316.282577,17103.98679,9749.309549,7563.243484,0,5553.418491,12847.08535,6205.497974,15858.68328,10239.04689,9936.018252,8479.839555,8239.144337,7560.363895,14480.44821,13284.94851,6443.038336,5887.409225,0,7328.33905,0,12113.33588,5174.490198,5791.554225,10824.75253,7307.15387,5039.263993,14495.64945,7183.157602,0,4886.099852,10678.01099,6555.52162,18008.78567,9209.327561,6479.247013,4462.687837,7717.711622,5985.107179,7054.380815,8184.702235,9566.838781,8627.354046,9354.571079,6889.012749,0,19520.2215,5245.015533,10348.50434,10720.7196,6969.168455,5901.664634,14290.09732,5479.646509,6398.351303,22657.2113,18734.69501,5221.474498,0,13649.86876,5192.080823,7071.35688,8204.052236,5322.773688,8957.912196,8637.17929,4322.393476,17347.58768,6367.492249,12170.3789,5865.042936,0,6926.316334,8603.679096,16144.78004,18190.01095,16127.34898,0,0,0,26046.11677,0,20907.19843,16323.1772,7258.242776,16837.27033,8820.996941,7272.123682,6038.086993,9391.428704,12414.52027,0,6532.377453,14904.10689,14479.55132,19212.56846,11169.13139,0,8516.23532,0,0,10048.99612,0,4606.263577,16847.65758,11403.99873,9700.539978,11019.84711,9503.869457,6839.488216,0,6172.368625,6260.739429,11203.02864
"LPS203_2",0,0,0,0,0,0,0,0,6139.180546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6343.080751,0,0,0,6934.021696,0,0,0,0,0,5458.887019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8315.427839,0,0,0,0,0,0,0,4956.614702,0,0,0,0,0,0,0,0,0,0,0,0,8761.850615,0,0,0,0,0,0,0,0,6458.133807,0,0,0,0,0,0,5983.174154,0,0,5397.723025,0,0,0,0,0,0,0,4159.582299,0,0,0,0,0,0,8297.227265,8414.420619,0,0,0,6435.263019,4883.959462,0,0,0,0,6687.545766,6573.667748,0,4939.987718,0,0,0,0,0,0,0,0,0,0,7071.740622,0,0,0,3828.14577,4957.54746,0,5132.861778,0,0,0,7097.117506,0,0,0,0
"Unknown1_0",91379.52682,84318.03867,55741.61917,46763.08674,93320.21218,90331.31563,68617.81286,79342.17528,78004.86404,54391.01752,2910.186677,57525.47697,60235.57751,78075.10667,68781.8452,52789.9862,56226.30775,40416.83491,81957.20764,37040.28391,71110.80421,61906.41657,57831.70959,65671.6094,29244.60792,13640.38376,37759.568,47993.89934,42946.62321,67887.50583,79545.88843,65053.17675,137708.4294,59206.65586,84833.16085,90173.80584,68803.29121,45284.73841,72177.98399,74227.66745,94466.9559,40689.42154,67672.10076,41442.43264,92137.94822,50027.09316,47658.35142,44577.26166,42461.20011,74496.37106,85470.43533,70923.03783,90656.47449,75764.50179,86273.2039,82628.41982,43146.37426,36894.9742,71379.84309,113088.5354,91626.49838,71274.98738,58096.89063,47390.31947,61642.76183,79599.57305,68352.8569,39601.09528,56008.74279,44392.34753,73568.49218,55850.82132,65128.06343,68874.19722,82068.21136,75864.20132,76005.36053,44500.10305,51432.70522,58791.60707,82506.17653,63899.237,64086.49002,75683.44949,97794.84248,63168.18045,17356.90071,66239.87491,44377.24243,90458.18726,57888.21861,37222.45967,46936.99054,51444.28514,51324.19602,57414.48752,68503.72826,64131.50088,40197.68118,59010.74763,79922.32785,50822.71346,86622.15918,70633.66185,52889.37204,55800.97924,77351.33147,39734.45937,50234.9955,52867.65757,68914.95864,41481.35774,35687.45222,52559.35103,66688.55762,79627.52605,106803.0066,66242.87039,65911.93273,68341.43852,47202.31125,68602.6384,38900.61223,101205.2903,80541.63033,55210.27683,64866.53589,38954.69428,47895.97238,54953.07009,93711.7869,73011.61159,41387.52971,29991.43099,57837.41749,46177.48755,115165.8864,69256.55372,30547.50223,41832.40278,34690.66615,45656.01086,65445.36705,22820.81058,33467.48174,53267.26373,46521.69069,53270.14668,44925.08118,38814.76838,51681.58095,25394.47791,30117.53756,30475.05494,43982.02644
"Unknown1_1",28001.4334,29409.63074,12355.3578,17526.29472,20383.7283,32511.74147,29659.64335,13996.86199,15700.35622,10467.13839,1004.916106,13204.85966,15939.74448,28751.50192,20556.20265,13442.9548,28482.72807,7503.919289,32402.49316,10222.64727,32499.87243,13606.73321,16739.93378,13924.50939,10185.33953,2056.426853,13026.11838,17640.87869,18200.50748,22152.73158,20662.79105,32707.88427,34319.74078,12420.58553,22257.92303,17580.25126,11667.77282,15024.63427,23388.87915,17160.16586,22315.62147,17001.11725,16447.69914,16738.29476,18643.02886,15799.92205,16571.15602,6800.671277,18014.72219,15255.91252,9768.424804,8072.024032,21849.24957,17160.73581,18653.20747,18009.02841,13962.9584,9114.114417,25463.2838,22528.667,31311.28603,14543.73689,11897.18467,11342.45597,22887.32651,16265.30819,28904.22866,12486.48726,9975.107954,9133.12522,13352.50527,17325.73296,15152.3423,10844.9704,13677.92321,22740.69378,19534.51743,9065.853713,21807.38242,19390.56534,25932.65087,30977.51722,15106.59465,22338.68155,20452.31117,14972.49763,3944.823785,15226.57726,14852.81158,21185.52106,13462.47465,14621.57076,14755.28615,15912.75124,12642.77691,18808.98462,11009.31632,27496.49109,10633.64113,19833.83752,29136.38925,18529.34418,15845.91793,19821.97775,10963.8359,10964.78627,26490.96424,6853.922908,17413.0034,17409.02019,19896.62469,13785.06353,6174.916681,18273.91504,21177.64196,28077.2765,40573.50747,16453.65373,16568.34445,17662.64573,9524.948412,21001.20787,13039.67292,28647.32538,18191.32302,18802.03112,14585.11215,11001.81407,13081.36946,9979.915157,15285.70674,13729.25815,8999.857659,7388.450861,19331.7117,10723.21858,19614.80598,26343.2357,12491.2855,24941.00328,0,0,20473.32612,0,5865.202009,12104.7017,13743.16847,8304.829386,13702.92803,8263.607582,19133.77633,5665.448223,7692.808373,7510.792135,5626.104302
"Unknown1_2",6653.156673,6347.378684,0,0,0,6074.261768,0,5769.425427,0,4214.764038,0,7811.994862,0,0,0,0,0,0,0,5163.746877,6640.02678,0,0,0,0,0,0,5632.699196,0,0,0,0,0,6914.780223,8709.648523,0,0,0,0,0,0,0,0,0,0,0,0,5347.153034,0,0,0,0,0,0,6604.368633,0,0,0,0,0,0,0,0,6707.519883,0,0,6465.393142,0,6467.129139,0,0,0,0,0,0,0,0,0,0,5810.572793,8548.506186,0,5659.823273,0,0,5070.556203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5255.787344,0,7049.863966,0,7843.40146,7410.708596,4377.614702,0,0,6392.008234,0,0,0,0,7445.570817,0,0,6299.147335,0,0,0,4743.907986,0,0,7703.401387,0,5330.077495,0,5502.191473,0,0,0,4646.332211,0,0,8134.217112,0,0,0,0,0,0,0,0,0,0,0,0,0,7232.207513,0,4103.365688,0,0
