"Measurements.Samples","Spot.117758","Spot.117759","Spot.117763","Spot.117767","Spot.117768","Spot.117811","Spot.117812","Spot.117813","Spot.117814","Spot.117815","Spot.117816","Spot.117817","Spot.117818","Spot.117819","Spot.117820","Spot.117821","Spot.117822","Spot.117823","Spot.117824","Spot.117825","Spot.117827","Spot.117828","Spot.117829","Spot.117830","Spot.117831","Spot.117832","Spot.117833","Spot.117867","Spot.117868","Spot.117869","Spot.117870","Spot.117871","Spot.117872","Spot.117888","Spot.117889","Spot.117890","Spot.117891","Spot.117892","Spot.117893","Spot.117894","Spot.117895","Spot.117896","Spot.117927","Spot.117928","Spot.117929","Spot.117930","Spot.117931","Spot.117955","Spot.117956","Spot.117957","Spot.117958","Spot.117959","Spot.117960","Spot.117961","Spot.117962","Spot.117963","Spot.117990","Spot.117991","Spot.117992","Spot.117993","Spot.117994","Spot.118026","Spot.118027","Spot.118028","Spot.118029","Spot.118030","Spot.118031","Spot.118058","Spot.118059","Spot.118060","Spot.118098","Spot.118099","Spot.118100","Spot.118101","Spot.118102","Spot.118127","Spot.118128","Spot.118172","Spot.118173","Spot.118174","Spot.118175","Spot.118200","Spot.118201","Spot.118248","Spot.118249","Spot.118250","Spot.118276","Spot.118277","Spot.118327","Spot.118328","Spot.118329","Spot.118353","Spot.118354","Spot.118408","Spot.118409","Spot.118434","Spot.118435","Spot.118491","Spot.118492","Spot.118517","Spot.118518","Spot.118576","Spot.118577","Spot.118602","Spot.118603","Spot.118604","Spot.118690","Spot.118691","Spot.118692","Spot.118780","Spot.118781","Spot.118782","Spot.118873","Spot.118874","Spot.118875","Spot.119066","Spot.119068","Spot.119167","Spot.119168","Spot.119169","Spot.119270","Spot.119271","Spot.119476","Spot.119477","Spot.119584","Spot.119585","Spot.119586","Spot.119694","Spot.119695","Spot.119914","Spot.120025","Spot.120405","Spot.120406","Spot.120519","Spot.120825","Spot.120826"
"AA_0",22067.19129,10975.22231,13772.75503,7111.339567,16434.94746,11435.38084,11133.38185,11703.77757,18980.00485,14953.77269,10773.17444,11130.84211,12608.26603,21128.16239,9365.549355,14793.28424,9638.990849,18667.01793,11224.67217,7256.574765,14881.91388,12681.38456,10486.65117,10449.41634,13038.74316,10220.76051,13361.82957,11253.98178,15196.04857,11289.82897,11633.39146,19648.42826,9125.623573,13064.58857,8385.283479,9035.45099,14116.94041,12999.91139,13462.69897,12667.92072,10620.41589,17734.43556,11364.61743,11879.46469,9345.280559,9155.079548,10021.07209,13583.96345,11883.22889,7891.943725,10187.17427,11312.70179,24993.12977,11064.60029,8360.513786,15201.80461,16700.79315,10413.73776,14169.86806,10397.76935,9540.431091,13860.10119,10623.91697,13406.17328,18625.76232,11446.57968,10786.80154,17618.456,8712.143203,11451.05775,15172.3076,8323.916541,12441.2798,10915.02432,7477.206707,8536.376257,12730.24189,11016.81141,11673.1294,8280.42662,16843.1569,15547.96354,17652.63242,12550.09526,10763.95981,11295.67797,13467.93369,8679.806796,14377.68219,12362.76031,13500.96348,11854.74873,14287.28501,12474.30184,14254.76145,14724.53355,8867.080151,12888.43851,20873.96065,12366.01246,15062.07648,12817.25575,11878.14232,11104.59033,8990.909564,12506.914,12646.46622,16092.60639,12508.146,16398.80444,8220.952793,13156.82561,8483.420329,16213.83084,21694.57026,10006.0155,12029.64049,9904.666365,11234.07979,12932.2029,13071.07232,8431.954142,10800.43291,8380.654994,19440.68676,18293.04752,14428.09467,11320.86272,8631.78401,8904.319699,10297.74128,13585.55921,14203.79338,11509.08148,14379.12832,13602.6551
"AA_1",4427.370693,2754.786069,1314.077997,1613.117437,3175.479717,4343.18436,2638.826756,3084.224009,3304.824416,4209.376059,2166.378055,2832.575685,2770.487806,5574.140427,3479.979017,3389.281116,3116.728022,3694.406469,1838.509781,2129.364763,3246.305139,1753.458903,3251.708385,2886.688438,3240.850957,4567.187977,3041.0208,2583.503823,2816.278385,3157.563455,2119.014712,6056.040914,1392.42328,2767.608132,2325.605361,2757.788729,3166.314112,2370.656274,2703.730455,1814.137753,2885.363541,3123.735303,1803.240896,1430.185562,1941.877389,3084.689249,2707.228446,3488.962692,2788.13264,2412.596779,2935.650123,3349.342672,3616.74729,3299.469271,2143.299321,2053.884633,4580.112181,2321.414612,2483.245658,3347.659957,1374.089657,2616.480371,2419.652333,2327.287548,4221.637851,1857.384655,3376.577663,3316.435841,1668.523281,3116.203155,4241.043872,2103.98812,3904.280889,1939.364963,3041.472114,2123.001656,1725.906481,2700.848546,3712.2394,1826.423996,3395.236492,3452.134616,3333.215258,4835.703829,1875.536021,2100.251514,3413.369853,2225.543471,2800.177493,3061.082692,2971.893194,3285.150569,3507.437786,2698.938981,2643.676777,3383.530778,1936.231506,2853.834935,4143.371767,2930.285466,4852.191045,2565.441707,2299.11835,3389.061663,2445.031407,5073.090151,1937.87318,5186.012251,1554.884938,2973.85661,1599.375564,3657.963173,2249.529416,3353.641743,4576.477582,2425.481452,3024.037044,2142.030077,2561.696264,2252.807167,3387.375433,2998.8947,2601.583482,1501.148055,4556.393851,4131.252062,2550.882061,2893.400192,1970.762486,2025.848501,3140.932214,3096.630561,3924.685478,3884.856419,2371.740252,2403.473501
"DHA_0",31296.33256,23667.26746,19363.60306,14691.86202,30669.33095,25357.67526,17229.36002,14118.16034,18798.60618,22789.20171,16973.51853,19768.53829,15958.60364,34755.59219,16886.29213,14427.3536,19917.47327,22940.75107,13272.51268,10778.75554,19007.35415,17168.75628,15749.33518,17502.82773,19697.23084,18262.28309,18379.63475,15248.35293,15819.07124,17112.69699,14969.19589,24096.93238,14341.70914,16942.63621,14204.99165,17181.67892,22677.07214,20314.62984,18737.52619,17316.67988,14993.29565,23699.43995,14176.689,19433.21379,12996.31912,13414.21612,18036.9965,14700.409,23108.18331,12839.56226,12495.11791,15400.41292,26503.44632,16557.97642,13349.28205,21674.20281,30915.6956,17380.10462,21760.31108,21882.00629,14588.68237,21208.21397,15385.87055,21800.62209,18879.36105,13651.59963,15083.09813,21281.01579,19327.44388,19470.14577,19147.18396,19425.85077,16509.35271,16790.21369,11783.88853,13275.96436,15292.24106,12625.82415,18458.79219,11771.97563,26812.99995,17463.1498,22745.36339,16114.01624,13886.63915,15755.58603,22363.74762,17610.73438,16266.22888,17687.24608,21404.8155,18045.63719,16791.66108,15837.21058,19570.9718,24500.31003,21571.44185,15491.26284,26137.65127,18479.12056,20615.21141,18137.74099,17815.98879,21921.77879,14716.56628,26117.33707,15625.89003,17346.11778,14660.75071,22240.49238,12588.1263,15249.80845,13538.27085,22125.32226,27184.78768,13240.97219,16319.69636,10886.34865,17293.10815,16184.86289,18143.30076,15472.55511,16070.66503,10938.29448,23763.74043,23602.46203,18397.3755,17115.6095,15511.80451,11568.76765,14957.42442,16088.48825,14250.12396,17049.8009,19704.80881,17141.28482
"DHA_1",7671.312824,5438.767397,3457.299322,3102.990766,9154.182039,5195.554292,5066.142178,3080.255627,4926.666654,4702.549881,3375.538228,5007.484024,3148.603581,6835.233893,4281.484809,3563.379296,4983.451899,4771.845124,2575.424053,2131.181992,5806.937633,5543.781855,2617.947304,2719.856195,4696.154647,3661.951785,2955.702112,5291.761331,2881.955024,3425.77777,4277.798285,6515.267142,4166.319935,3869.793586,4243.571207,3946.34526,5938.81139,5051.006739,4071.478562,4797.517837,2911.058834,6065.191303,2705.754821,4119.487301,2765.753303,4561.520174,4577.176387,3516.176357,5221.624613,3094.136822,3504.147081,4798.711931,6825.660102,4029.973429,3181.927262,3776.305206,4671.505548,3287.311399,5883.715564,2875.302315,2462.08635,4960.183386,3963.447939,3063.194791,4911.920762,3704.401726,3093.273785,5716.143453,3242.29731,6566.025875,4306.557364,3603.05463,3038.064373,2794.548765,2488.375437,4755.992436,2781.880689,3168.445722,2551.276456,2752.088076,6265.460806,5089.469146,5066.514949,2959.555828,3218.856879,2748.632547,3459.507529,3308.011622,3508.204829,4701.166758,6783.640784,4489.027489,4662.380475,3848.67041,5099.655948,5011.091602,5151.931396,3318.426108,4064.31067,3587.401397,4631.172099,5643.854487,4456.824324,4042.772524,3570.48363,4452.985549,3300.826263,3643.85718,3733.041485,5950.997983,3698.151171,3865.254063,3923.241233,3200.589553,7964.311115,4089.855668,2896.592732,2254.767584,3003.253371,4030.961779,4242.553745,3124.3837,3829.711828,2421.80968,4609.1852,7385.393342,5337.808751,3708.563989,3379.220126,3372.06274,4207.933504,3123.344189,2905.519745,5033.610064,3788.525999,2234.888215
"LPS203_0",11451.938,9020.210163,8680.764751,5146.27652,11349.88311,8926.409665,12553.02912,4126.715785,4404.059817,11200.78785,4581.807827,3211.929123,4177.369431,0,4775.357617,3390.444695,8302.991661,7976.786654,4048.956944,5326.677113,6516.699212,8833.941209,3301.649047,7129.71727,7189.880064,10780.82529,6983.279523,13095.77504,4394.046415,5056.260455,3777.619453,5789.277217,6451.237981,4030.987428,3138.282779,4459.074056,9000.625012,5936.962123,6043.778158,5812.76285,5911.381344,6616.530745,4666.016623,6123.576897,3495.41661,6709.451394,5100.446302,8737.187725,6027.741509,5465.209786,4378.061369,4943.547078,8289.830594,2163.707879,7532.891096,7825.61731,9383.178944,7141.015994,6004.135545,8396.292612,4934.348397,8262.924824,4500.006664,4512.717185,6340.543147,3665.242023,5101.175646,6881.613909,5653.594561,7007.549987,7850.395891,4410.298628,4680.927416,3606.339977,9634.094119,3421.509999,3915.355557,4041.359933,4753.318566,5031.215325,8996.264998,7328.015837,6433.761551,7761.463648,6792.334669,4821.69379,4933.169551,6822.173496,5055.920794,6888.516448,7702.922692,10693.75027,3499.816288,5136.671313,6387.32827,10065.14135,4699.669915,6175.768979,6292.349196,10268.70153,9386.441398,5821.919961,6181.841433,8068.15651,6167.56551,7793.906004,5128.238072,6856.639369,11620.29172,9948.652465,6968.227028,13695.13415,8354.061365,6933.003618,12434.652,6922.670185,6909.149604,8114.413393,7201.977106,13625.50983,9365.287763,10313.40553,6571.15815,5755.898295,16644.00158,7815.753916,5384.112483,7583.25327,8756.442116,11329.78925,7835.113248,5061.156406,5766.8581,11382.1643,9743.123457,6685.656458
"LPS203_1",0,0,2207.335107,0,4424.848775,0,3148.334807,0,0,0,0,2691.131252,0,0,0,0,0,4103.295169,1925.902976,0,0,2240.336996,2867.352118,0,0,3442.051392,2270.876821,3011.713256,0,3018.947043,2038.14541,0,0,0,1954.596774,0,0,0,3378.604985,0,0,4742.505626,2433.624993,6385.213379,2163.089634,0,0,2842.100328,3909.769961,0,0,0,0,5305.204776,0,0,6486.494439,5308.238296,0,2272.239357,0,0,2571.227049,2786.89794,0,0,2897.546981,4138.576617,2435.417234,0,0,2403.043809,2439.756397,0,2386.526093,0,0,2079.504068,0,0,3974.617192,3538.680434,0,3535.574603,0,0,0,4841.322318,4692.981879,0,0,0,0,0,0,3866.148637,2371.85712,0,0,3803.92224,0,0,3218.496166,0,0,0,2730.512947,0,3867.199416,5851.420204,2362.330103,3691.598026,0,0,0,2746.437899,2722.042194,0,0,0,3282.158908,2701.813089,2547.830443,4935.311202,4097.471487,0,0,4025.987517,0,6686.201464,2954.280371,0,0,3226.362532,5223.180814,0
"LPS203_2",0,0,2492.964097,0,0,0,3635.944642,0,0,0,0,0,0,0,0,0,0,0,2147.320592,0,0,0,2071.908542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2586.484568,0,0,2396.385462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2040.220474,0,0,0,0,0,0,0,2824.79202,0,0,0,2605.668048,0,0,3644.905486,0,3385.709527,0,2170.657531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2705.420638,0,0,0,0,0,0,2852.477,0,0,0,0,0,2493.376433,0,0,0,0,0,0,0
"Unknown1_0",40496.61437,34470.6101,31471.43091,21118.83815,52352.48008,24446.02099,24694.53995,18290.81455,24523.08359,20403.07546,21938.9801,21067.18334,17768.43984,44125.84666,17323.05368,20829.29036,19255.15632,31723.32208,12880.91105,13779.51735,32606.8261,16723.57296,17535.37349,26122.81728,32111.35699,21408.57052,32803.53698,31246.81784,25105.92887,17719.98576,17508.38566,24225.61647,20167.20377,18779.1657,14453.70046,20131.86263,35263.95819,22542.31397,24640.66233,24593.4626,29927.81619,48122.44284,15671.07401,40136.45333,15536.65533,16774.40183,27525.74506,26325.57253,15647.61534,19818.03273,16959.16046,22393.25005,27991.69439,16338.82653,14252.3835,31346.45111,38223.4517,18031.23487,21729.91245,21609.24238,25659.94036,26260.95075,18405.72074,30788.36269,30120.62477,20813.63257,30349.11772,37673.7848,16850.04983,27715.96096,37851.42033,20806.584,20465.22341,24137.34166,19305.97604,16965.60658,20917.05386,15662.53817,14995.58332,19159.32446,54901.79717,25896.15271,40873.73519,21296.13231,21164.92897,31475.04304,36271.01384,24704.53088,23108.80173,24381.99387,33900.29294,31336.59007,22141.04542,22934.9952,28699.15569,30790.96545,19679.21388,24892.86611,35349.87838,28590.89831,28046.96217,28232.03764,23603.8496,31494.84027,17338.09068,39975.79419,24030.94012,22888.76598,26192.83003,35796.90855,15780.01638,25719.3583,26844.16042,24966.92794,63680.75045,27595.93808,19135.92212,16806.54944,23898.66567,28618.62178,19524.76415,24221.30898,29886.13236,17139.04433,40581.38935,36453.55151,36956.63389,24792.60052,22934.80702,35730.12465,25259.38866,18072.16727,27245.0743,25707.77741,15139.25541,23284.26201
"Unknown1_1",10303.69678,9935.176999,6979.099671,7375.563534,8256.457204,4480.472711,7802.025823,3345.032934,7801.655741,3630.203954,4811.645533,8990.726339,5089.122903,0,4532.693706,5803.498562,3318.950635,6978.04763,3142.021362,3125.80554,4151.318441,8162.593223,3811.494828,11456.92234,6814.558763,11771.12299,10605.28754,10727.03771,6533.937583,3238.691386,2539.183488,11342.48852,6149.136584,2856.293106,3370.550726,8126.139332,6526.789634,7185.501812,7892.254947,6195.346723,8065.411086,8745.365244,3438.969543,5268.675882,4932.373652,5135.485524,7482.442701,4470.334862,4020.614395,11378.02198,7385.540244,6285.623652,9664.711866,5888.115662,6645.046021,7341.049656,10408.57105,7030.45429,3238.177967,8702.427253,7258.92248,9397.978072,3988.451846,4765.339048,8162.155713,6766.165447,5708.173122,7331.182162,6655.35392,7687.428955,11538.76072,7448.067395,3282.05903,5362.398314,5037.783088,6818.244969,3222.632721,3609.868807,3927.401399,3413.551122,10806.82592,11761.70258,8271.135886,7179.117257,6716.31552,5401.922095,7057.339784,6528.706699,8226.230871,3851.507735,22373.57317,7686.49762,6107.165677,3941.73701,4835.655668,11316.91672,3311.689138,8746.593646,12688.59382,11054.6906,9207.613249,7438.370685,11308.65101,5855.93999,4245.581018,13174.29881,4294.102347,4740.434665,5152.902105,11802.37136,5702.072123,3845.621554,7407.929161,6433.958633,7186.911274,2863.090802,4977.744751,7414.885169,4295.982291,8040.389894,4629.273876,5188.219764,4298.178441,6069.423906,7911.290465,9520.800828,8219.130428,4909.548173,5580.943813,9528.703087,9373.559574,0,4531.208294,10487.57274,5296.345534,3068.259774
"Unknown1_2",0,0,2335.60246,0,0,0,0,0,2850.392475,0,0,0,0,0,2480.322204,0,0,0,0,0,0,2325.815461,2189.645373,2403.524024,0,2085.380642,0,2757.701214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2384.882381,0,0,0,0,0,0,0,0,0,2146.595024,0,0,0,0,2124.173686,0,0,0,0,0,0,0,0,2060.469478,0,0,2690.797821,0,0,7944.3285,0,0,3189.019096,0,0,0,2410.960732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4709.058801,0,0,0,3807.710111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3044.461464,0,0,0,0,0
